	1207,37,152
1649635	127,679,60,510,37,169
1649636	37,128,122
1649637	56,37,436
1649638	37,1537
1649639	49,37,622
1649640	406,37,208
1649641	35,56,538,1392,14,223,1537,357,131,221,37,254,1300
1649642	167,37,131
1649643	37,128
1649644	85,81,1277,146,1283,37,177
1649645	910,37
1649646	2524,37,949
1649647	38,37,544
1649648	269,1745,84,131,37
1649649	188,90,46,359,536,37
1649650	37,2365
1649651	382,231,440,131,228,37,2096
1649652	122,278,81,126,128,37
1649653	205,818,37,1409,1987
1649654	228,770,81,881,230,705,37
1649655	1835,2556,455,238,146,37
1649656	15,37
1649657	1063,848,37,949
1649658	188,104,37,1085
1649659	37,128
1649660	85,122,429,406,1373,478,581,72,502,37,477
1649661	441,90,128,848,37,51
1649662	37,1932,2096
1649663	37,177
1649664	833,1825,3123,2421,238,1535,580,1433,146,422,436,532,37
1649665	56,85,1217,2581,122,179,452,217,146,673,53,1030,510,37,27
1649666	188,231,37,2203
1649667	218,37
1649668	221,218,37,131
1649669	910,37,1060
1649670	218,107,37
1649671	197,162,104,544,246,893,501,37,2096
1649672	56,85,39,217,620,146,37
1649673	1018,37,292
1649674	3493,766,37
1649675	37,436
1649676	127,464,131,221,37
1649677	188,279,221,37,1996
1649678	840,606,37,620
1649679	56,455,429,218,806,128,705,37
1649680	37,131
1649681	204,122,188,15,17,107,46,436,37,862
1649682	360,31,1343,840,732,411,37,2896
1649683	37,501
1649684	893,37,1021,544
1649685	308,37,85,60
1649686	221,37,921,131
1649687	37,152
1649688	314,1055,37,876
1649689	37,85,87,355
1649690	127,295,752,365,87,81,1680,107,620,146,38,88,37,1537
1649691	305,302,37,316
1649692	37,518
1649693	127,35,107,436,131,221,37
1649694	643,113,200,37,702
1649695	37,359
1649696	37,717
1649697	127,921,14,15,131,221,37
1649698	37,436
1649699	37,1853,763,876
1649700	643,188,107,436,37,702
1649701	429,37
1649702	56,14,94,154,38,37,254
1649703	37,131
1649704	221,37
1649705	643,107,37
1649706	269,538,216,204,2348,87,133,17,46,72,37,169,93
1649707	37,436
1649708	643,14,188,107,131,37
1649709	643,188,218,107,38,37
1649710	624,806,620,124,37,505
1649711	127,35,921,90,15,46,131,221,37
1649712	228,770,1145,1456,1414,37
1649713	188,81,15,107,46,37
1649714	2784,269,85,1469,67,32,143,956,337,37,254,1537
1649715	307,37,862,764
1649716	1394,37,692,93
1649717	56,663,37,231
1649718	218,37
1649719	534,37,167
1649720	218,643,37
1649721	127,25,131,221,37
1649722	643,37
1649723	37,152,505
1649724	84,37,81,128
1649725	127,35,921,131,221,37
1649726	262,188,1226,1344,46,131,876,221,37
1649727	44,995,124,37,51,177
1649728	37,538
1649729	3113,37,152
1649730	643,188,107,436,37
1649731	1975,15,131,3220,37
1649732	37,2203
1649733	221,37,921,131
1649734	1890,37
1649735	37,27,462
1649736	643,396,204,218,37
1649737	56,37
1649738	90,37
1649739	37,421
1649740	112,429,188,558,15,107,316,37,841
1649741	37,46
1649742	37,233
1649743	230,37
1649744	643,37
1649745	127,455,1563,90,1577,133,452,84,1256,128,37,513,176
1649746	127,37
1649747	49,3237,2529,3,131,37,2142
1649748	221,37,131
1649749	37,436
1649750	643,188,107,131,37
1649751	223,37,436
1649752	37,251
1649753	127,56,85,455,37,131,584
1649754	37,1552
1649755	107,37,876
1649756	223,37,1570,379
1649757	37,2907
1649758	221,37,81
1649759	37,38
1649760	37,38,41
1649761	219,179,87,728,673,37
1649762	1890,921,131,221,37
1649763	56,37
1649764	37,505
1649765	127,451,537,14,467,622,910,1256,46,38,221,37
1649766	563,107,37,188
1649767	188,37
1649768	429,37,934
1649769	1258,268,97,467,122,429,218,622,95,881,17,510,502,37
1649770	90,518,1256,131,128,37
1649771	221,37,81
1649772	218,37
1649773	37,702
1649774	37,2172
1649775	107,37
1649776	104,436,16,37,702
1649777	35,127,643,1414,37
1649778	37,673
1649779	90,37,1035
1649780	364,227,1317,931,554,3018,1418,37
1649781	37,204
1649782	3409,377,37,357
1649783	37,436
1649784	127,538,37,377,1265
1649785	577,37,249
1649786	85,890,25,67,167,37
1649787	766,14,122,292,37
1649788	56,592,204,95,87,15,547,107,1344,221,536,37
1649789	467,390,547,131,37
1649790	188,547,37,217
1649791	676,56,205,1577,17,673,1060,60,37,51
1649792	510,37,97
1649793	37,769,177,217
1649794	223,37,2179
1649795	90,37
1649796	2004,37,507
1649797	223,15,60,37,51
1649798	188,107,37,131
1649799	37,19
1649800	15,1296,131,510,37,1265
1649801	162,643,375,188,107,37
1649802	221,37,98
1649803	307,37
1649804	1132,44,810,37,292,208,273,769
1649805	127,37
1649806	188,107,436,88,37
1649807	127,1771,131,221,37
1649808	538,15,17,38,221,37
1649809	35,643,37
1649810	127,56,85,14,122,1226,131,2999,221,37
1649811	56,133,81,217,246,152,37,177
1649812	810,164,622,266,1256,88,35,286,81,440,143,1283,37,1072,136,1591,217,1277,177
1649813	230,37,507,286
1649814	37,295
1649815	188,15,107,436,128,131,37,1072
1649816	107,37
1649817	35,1844,440,1277,146,1283,37,899
1649818	382,37,165
1649819	37,3425
1649820	868,37,1575
1649821	584,498,179,212,133,471,1615,84,32,337,37,254
1649822	188,107,37,87
1649823	621,81,544,881,893,236,37
1649824	37,387
1649825	84,37
1649826	35,663,4365,188,90,81,46,436,167,37
1649827	37,2076
1649828	1063,37,131
1649829	85,95,217,221,37,177
1649830	49,56,455,72,90,133,1469,84,51,43,143,128,221,848,37,1874,27
1649831	429,218,619,876,37
1649832	125,231,107,436,1472,221,37
1649833	3465,2010,27,131,37,1660
1649834	808,37,216
1649835	1821,37
1649836	595,295,365,460,39,129,37
1649837	643,763,848,37,702
1649838	308,455,2006,1577,2375,1771,60,37
1649839	382,37,2143
1649840	221,37
1649841	16,37,192
1649842	56,921,1019,441,98,221,37
1649843	37,357
1649844	2185,294,568,769,217,539,192,680,341,88,37,51
1649845	1602,37,246
1649846	269,56,85,44,90,179,68,464,217,84,230,146,143,254,257,37,19,1537
1649847	766,37,107,764
1649848	15,127,37
1649849	49,2948,467,223,246,17,46,539,38,956,88,37,51
1649850	56,112,2569,1414,37,862
1649851	557,167,37,624
1649852	1890,643,37
1649853	37,131
1649854	50,37
1649855	663,37
1649856	188,218,37,1072,436,3009,125,5
1649857	35,90,365,81,217,230,208,868,37,2907
1649858	85,295,81,217,146,37,177,535
1649859	37,365
1649860	107,37
1649861	37,14
1649862	35,37,436
1649863	37,131
1649864	35,37,143
1649865	51,37,491,365
1649866	167,37
1649867	547,37
1649868	35,14,54,436,37
1649869	37,1072
1649870	35,618,455,806,81,547,98,37
1649871	2787,37,95,1265
1649872	218,2033,37
1649873	643,37
1649874	72,464,240,32,746,37
1649875	801,452,131,192,37
1649876	433,37
1649877	1821,14,90,707,37
1649878	85,188,266,107,436,763,876,37,702
1649879	37,27
1649880	1001,577,497,1035,15,417,107,1456,685,763,37
1649881	37,450
1649882	382,37,610
1649883	44,94,1927,33,1472,37
1649884	188,1035,107,46,131,37
1649885	446,37
1649886	37,177
1649887	584,37,949
1649888	37,769
1649889	429,107,131,221,37
1649890	85,94,266,133,217,46,146,143,72,88,37,963,93,535
1649891	547,37
1649892	35,90,95,728,208,146,143,692,37
1649893	127,1102,1226,221,37
1649894	56,122,218,15,37
1649895	269,451,131,221,37
1649896	269,390,152,38,37
1649897	107,37
1649898	221,37,921,131
1649899	35,81,131,37,66
1649900	547,37,122
1649901	37,801,87,204
1649902	921,441,223,208,131,37
1649903	1890,37
1649904	1890,868,37,379
1649905	37,14
1649906	305,37
1649907	136,81,2975,143,478,37
1649908	37,131
1649909	56,921,233,204,122,429,218,17,131,221,793,37
1649910	37,133,216
1649911	127,663,67,620,37
1649912	37,208
1649913	37,131,128,1072
1649914	37,763
1649915	308,37
1649916	302,37
1649917	127,921,390,279,107,131,221,37,27
1649918	15,2752,37,128
1649919	557,37,949,43
1649920	37,304,766,131
1649921	37,692
1649922	125,81,70,46,146,221,37
1649923	1258,610,910,128,37,1766
1649924	37,231
1649925	455,136,25,440,208,32,260,475,1755,37,19
1649926	454,37
1649927	295,286,547,230,37,177
1649928	150,37,1154,286
1649929	127,56,37
1649930	72,43,146,337,502,37,177,60
1649931	56,37
1649932	943,709,1342,150,80,329,848,37
1649933	37,422,1591
1649934	221,37,46
1649935	188,37,107,536,584
1649936	37,764
1649937	868,37,316
1649938	122,223,436,131,37
1649939	37,44
1649940	1132,491,801,2668,365,103,464,891,84,329,53,2063,37,169
1649941	188,107,37,436
1649942	231,188,218,1440,1394,107,46,128,876,37
1649943	162,396,2359,87,67,107,705,37
1649944	37,131
1649945	537,455,17,60,37
1649946	127,56,921,15,620,131,221,37
1649947	37,763
1649948	127,37
1649949	1821,2683,37
1649950	107,37
1649951	221,37
1649952	643,810,429,218,188,107,440,146,436,131,221,37
1649953	56,37,131
1649954	15,37,53
1649955	37,764
1649956	2348,1158,131,221,37,177
1649957	107,37,204
1649958	37,544,200
1649959	37,455
1649960	37,131
1649961	2033,37
1649962	127,56,921,1065,2359,15,17,620,131,221,37
1649963	218,37,200
1649964	37,436,128
1649965	37,1552,715
1649966	127,620,131,221,37
1649967	188,107,37,535
1649968	188,37
1649969	279,17,37,122
1649970	35,37
1649971	107,37
1649972	748,307,218,2010,131,221,37,634
1649973	127,15,155,76,37
1649974	107,692,221,37,27
1649975	197,976,103,373,3,764,37,177
1649976	127,35,56,921,455,14,122,2006,1591,2375,620,3234,41,221,131,37
1649977	35,3071,208,143,680,37
1649978	848,37,365
1649979	127,85,90,179,365,133,678,32,37,1729
1649980	3251,801,188,218,107,46,440,436,128,627,337,37,841
1649981	37,131
1649982	643,592,770,87,806,547,107,436,128,705,37,176
1649983	127,95,872,620,53,131,221,37
1649984	818,37
1649985	643,218,107,436,657,37
1649986	85,1065,87,32,673,37,841
1649987	188,518,81,3298,221,1283,37,19
1649988	848,37,177,643
1649989	37,2180
1649990	37,461
1649991	94,502,37
1649992	3733,179,175,152,37,19,27
1649993	37,844,1815
1649994	1890,467,188,107,37
1649995	37,133
1649996	748,497,17,46,450,60,2130,37
1649997	15,37
1649998	2608,643,2180,732,218,188,95,575,2189,764,128,2430,705,379,37,3430,3497
1649999	35,538,921,300,46,131,221,37
1650000	125,37,147
1650001	278,37,146
1650002	37,1182
1650003	35,37,90
1650004	643,37,53
1650005	188,643,868,37
1650006	221,127,37,131
1650007	228,56,188,910,107,3327,221,37,1766,776
1650008	97,90,133,359,192,60,37
1650009	228,37
1650010	592,295,223,278,952,143,128,37
1650011	188,107,37,1859
1650012	705,37,90,1766
1650013	84,37
1650014	429,37,68
1650015	848,37,2874,241
1650016	177,37,436,1815
1650017	797,37,276,77
1650018	35,56,921,90,131,221,37
1650019	37,122
1650020	37,462
1650021	37,1552,1591
1650022	37,192,251
1650023	921,122,188,131,221,37
1650024	663,2044,734,128,257,86,37,19,177
1650025	221,37,131
1650026	188,37
1650027	910,37
1650028	37,177
1650029	766,624,2359,222,228,37,1660,2239
1650030	14,1749,910,848,37
1650031	279,37
1650032	3571,37,152,471
1650033	127,35,766,56,14,95,241,15,131,221,60,37
1650034	705,37
1650035	127,94,37,46
1650036	643,44,429,218,188,95,107,46,146,436,131,37,377
1650037	1656,37
1650038	378,35,43,32,436,131,325,60,37,862
1650039	35,56,14,889,81,107,146,143,128,1940,37,177
1650040	37,131
1650041	37,81
1650042	35,37,505,2491
1650043	1890,37
1650044	2033,643,122,266,544,1591,208,359,131,221,167,37,19
1650045	37,14
1650046	90,2668,240,893,84,714,680,37,19,1149
1650047	1319,37,455
1650048	192,37,276,93
1650049	643,37,122
1650050	568,2033,37,801
1650051	37,422
1650052	221,37,131
1650053	1821,37,548,233
1650054	84,37,32
1650055	37,128
1650056	1256,228,1283,37,177
1650057	2863,37
1650058	127,56,122,107,37
1650059	429,37,752
1650060	1217,37,44
1650061	125,223,81,177,436,37,505,899
1650062	850,103,702,37,2171
1650063	451,97,2355,15,917,30,152,692,38,1736,325,37,1201
1650064	643,37
1650065	2493,889,1932,4392,462,37
1650066	3929,37
1650067	1217,2841,455,2616,1226,2375,1377,37,2012,2558
1650068	81,30,221,848,1283,37
1650069	83,452,30,37,27
1650070	228,231,37,307
1650071	60,37,58
1650072	35,715,37,375
1650073	85,2741,246,422,37
1650074	1656,37,3977
1650075	643,107,3009,37,2734
1650076	177,37,505
1650077	49,752,39,43,272,60,37
1650078	221,37
1650079	1063,643,838,231,2919,81,37
1650080	37,797
1650081	429,188,3268,37,841
1650082	188,107,37
1650083	221,37,455
1650084	35,56,1217,748,95,2734,37
1650085	205,818,78,37,1987
1650086	37,70
1650087	35,592,770,218,223,17,599,128,37,51
1650088	2752,37,2403
1650089	107,95,37
1650090	2257,502,37,593
1650091	37,377
1650092	3382,848,666,37
1650093	35,308,188,95,688,17,107,43,38,128,511,557,60,131,37,176
1650094	1794,37,128
1650095	37,219,192
1650096	1003,101,295,3692,147,37
1650097	35,231,188,218,38,37,2012,176
1650098	139,643,218,107,37,702
1650099	357,406,187,329,848,37
1650100	429,218,15,1360,38,131,37
1650101	127,269,37,667
1650102	563,37,81
1650103	2145,503,449,150,568,16,327,37,214
1650104	269,37,2761,478
1650105	15,3009,37
1650106	37,275,544
1650107	56,663,231,568,292,2752,46,337,37,769,177
1650108	95,37,1601,176
1650109	188,37
1650110	35,85,614,90,95,177,107,37,505
1650111	37,103,377,667
1650112	56,732,429,218,266,131,37
1650113	1609,37,1456
1650114	910,37,128
1650115	188,37
1650116	307,379,37,982
1650117	766,365,620,192,37,93
1650118	85,1428,2909,37,1859
1650119	139,188,46,131,37
1650120	107,37,216,136
1650121	37,436
1650122	2250,37,46,251
1650123	127,2668,37
1650124	37,131
1650125	107,37,87
1650126	35,720,806,143,228,37
1650127	188,127,37,221
1650128	223,37
1650129	715,37,2089
1650130	262,1217,2037,455,218,2006,1577,68,2375,1771,67,46,38,76,131,3684,37
1650131	107,37
1650132	127,37
1650133	131,128,221,848,37
1650134	37,1086,1019
1650135	2514,37
1650136	37,2172
1650137	37,702
1650138	3453,37
1650139	707,1344,436,536,37
1650140	221,37
1650141	37,216
1650142	188,68,316,705,167,37
1650143	37,46
1650144	37,87
1650145	1258,610,2148,763,37
1650146	337,37,285,46
1650147	536,37
1650148	218,37,131
1650149	262,49,266,2041,131,956,221,37
1650150	643,107,37,104
1650151	2752,37,763
1650152	2829,223,81,131,37
1650153	37,436
1650154	643,37,177
1650155	37,131
1650156	35,921,1535,254,37,1996
1650157	37,236
1650158	221,37,131
1650159	56,37
1650160	37,436
1650161	107,37,177
1650162	56,365,464,1319,32,436,37,27
1650163	85,188,131,868,37
1650164	127,218,580,17,422,37
1650165	81,107,46,436,272,37
1650166	848,37,136
1650167	37,222,436
1650168	37,963
1650169	37,131
1650170	221,37,131
1650171	160,838,223,236,37,51,505
1650172	107,37,2128
1650173	643,37,1035
1650174	14,81,620,221,37,1072
1650175	15,167,37,188
1650176	188,37,1439,1182
1650177	60,1577,37
1650178	167,37
1650179	37,905
1650180	705,37,728
1650181	595,127,3652,643,491,537,2405,390,103,2771,692,359,599,37,27
1650182	37,38
1650183	37,702
1650184	37,702
1650185	705,188,37,3298
1650186	127,35,56,295,14,241,1243,37,2558
1650187	275,72,2351,217,462,3772,131,337,37,169,819
1650188	37,436
1650189	188,107,37,436
1650190	37,131
1650191	37,436
1650192	107,37,87
1650193	643,518,436,221,37
1650194	217,2804,146,37,776
1650195	502,37,3172,177
1650196	37,1038
1650197	37,122
1650198	2033,56,1749,133,84,797,37
1650199	188,37,3177,1085,620,436,125,1072,612
1650200	112,764,131,3009,37,2453
1650201	221,37
1650202	56,643,2384,3347,192,228,37
1650203	37,357,535
1650204	37,1932
1650205	107,37,25
1650206	643,37,95
1650207	194,37,2881,910
1650208	37,46,294
1650209	15,127,37,221
1650210	624,806,81,128,221,37,505
1650211	3493,37
1650212	90,266,103,84,510,37,177
1650213	1063,592,688,1624,37
1650214	221,37,949,188
1650215	95,103,3,37,377
1650216	382,37,1838,1301
1650217	910,37
1650218	162,37,526
1650219	37,14
1650220	1268,112,414,283,907,80,1356,113,37,611
1650221	24,37,365,230,382,125
1650222	643,37
1650223	536,37,764
1650224	37,1838
1650225	1063,663,295,752,188,81,856,3298,547,337,37,899
1650226	127,279,15,620,131,37
1650227	1063,37,1660,763
1650228	643,37,3547
1650229	37,1085,302,125,520
1650230	643,37
1650231	3009,107,37
1650232	85,518,436,2524,949,705,37
1650233	37,1749
1650234	643,188,278,342,15,107,131,221,37
1650235	2348,68,107,46,228,37,27
1650236	107,37,93,535
1650237	14,37,128,122
1650238	1955,37,131
1650239	188,37,702
1650240	278,37,131
1650241	1843,216,296,1552,563,715,1035,1680,436,2403,657,369,37,776
1650242	112,2210,167,37,148
1650243	127,56,921,131,221,37
1650244	37,122
1650245	162,37
1650246	429,218,37
1650247	37,14
1650248	382,107,37
1650249	675,212,806,37,634,251
1650250	35,37,38,231
1650251	14,204,133,38,143,37,93
1650252	536,37,167
1650253	1525,37,1747,316,536,112
1650254	95,497,272,581,37
1650255	676,451,2829,294,37
1650256	221,37,740,450
1650257	15,37
1650258	221,37,131
1650259	1583,37
1650260	37,634
1650261	378,2177,107,37,702
1650262	56,921,14,131,221,37,899
1650263	35,37
1650264	37,643,3263
1650265	2802,37,1927
1650266	37,720
1650267	534,37
1650268	223,37,505,899
1650269	194,60,37,15
1650270	167,37
1650271	921,179,131,221,37
1650272	188,643,37,436
1650273	15,37,131
1650274	107,1344,1815,37
1650275	37,851
1650276	35,663,643,85,44,81,910,177,1377,128,37,505
1650277	37,329
1650278	107,37
1650279	893,37
1650280	308,85,136,835,223,217,60,37
1650281	37,763
1650282	228,107,37
1650283	308,223,1577,60,37,27
1650284	35,37
1650285	194,1545,37
1650286	1999,90,2384,337,37
1650287	718,269,2836,14,279,81,15,84,46,72,502,37
1650288	2784,35,295,715,436,37
1650289	1003,2937,37
1650290	37,462,797,544
1650291	218,37
1650292	125,734,112,577,292,166,639,2148,37,1291
1650293	643,37,177
1650294	848,37
1650295	452,107,46,37,27,535
1650296	49,56,592,1360,272,673,228,37,27
1650297	1821,643,218,436,37,627
1650298	268,1120,825,1758,707,740,192,369,37,27
1650299	341,177,37,27
1650300	162,107,53,37,48
1650301	188,715,81,217,107,46,228,37
1650302	429,218,37
1650303	406,37,97
1650304	1454,37,155,27
1650305	848,37,60
1650306	37,81
1650307	221,37
1650308	37,279,216,122
1650309	35,216,455,15,272,37
1650310	1890,216,81,39,37
1650311	104,1146,868,37,1575
1650312	188,643,37
1650313	81,107,46,221,37
1650314	37,46,122
1650315	37,1670
1650316	127,624,1591,236,37,702,505,535
1650317	37,359
1650318	37,266,46,131
1650319	188,107,37
1650320	56,131,221,60,37
1650321	848,37,577,643
1650322	162,139,709,24,330,70,230,129,249,66,675,326,286,412,212,304,37,101,147,103,507,343,1472,110
1650323	663,295,81,70,230,187,124,221,848,37
1650324	37,1277,177
1650325	844,103,15,37,51,177
1650326	49,56,467,218,1591,17,143,128,131,37
1650327	705,893,37,544
1650328	534,37,643,231
1650329	127,131,221,3009,379,37
1650330	1019,90,17,507,124,848,37
1650331	37,329,177,124
1650332	37,95
1650333	88,44,68,452,17,53,510,37,1409
1650334	1890,231,81,406,359,37
1650335	429,218,37
1650336	188,107,37,436
1650337	37,53
1650338	37,122
1650339	35,610,568,577,2513,436,37,254
1650340	37,131,365
1650341	127,1368,1405,15,131,221,37
1650342	37,934
1650343	221,37
1650344	37,2874
1650345	90,2805,2143,544,893,1344,53,2146,37
1650346	705,37,128
1650347	127,4147,972,37,1409
1650348	337,37,177,643
1650349	35,90,16,221,37,377
1650350	85,233,455,231,840,373,107,2001,532,37,1537
1650351	37,518,146,143
1650352	37,133,216
1650353	56,921,617,131,221,37,1729
1650354	221,37,131
1650355	766,37,769,81
1650356	37,2680
1650357	37,128
1650358	37,329
1650359	2033,56,231,373,84,37
1650360	1932,510,95,37
1650361	35,1843,2980,2452,3097,1035,107,2438,41,128,1853,763,37,1996
1650362	1123,1319,37
1650363	1821,279,910,131,37
1650364	37,112
1650365	37,365
1650366	85,455,146,680,37,254
1650367	643,194,218,715,107,37
1650368	35,766,292,241,37
1650369	1063,56,2348,131,221,37
1650370	417,37
1650371	37,231
1650372	188,37
1650373	127,35,563,81,217,131,221,37
1650374	37,246
1650375	188,107,37
1650376	577,342,544,892,417,2172,763,37,1853
1650377	221,37
1650378	643,37
1650379	763,107,37,98
1650380	56,188,87,46,3763,131,536,37
1650381	748,37,502,72,176
1650382	37,97
1650383	14,15,131,3009,536,37
1650384	491,107,208,369,37,169
1650385	1745,921,764,221,131,705,37
1650386	37,32
1650387	563,37,93,667
1650388	188,37
1650389	1283,37,440
1650390	37,311
1650391	221,37,921
1650392	90,37,387,1815
1650393	87,246,236,37,769,27
1650394	37,295,128
1650395	167,37
1650396	37,131
1650397	1885,37,131
1650398	37,81
1650399	221,848,37,3839
1650400	15,37,131,188
1650401	14,467,70,241,146,143,60,37
1650402	37,436,81
1650403	127,643,2044,188,436,949,37
1650404	188,37
1650405	49,85,223,17,620,131,221,37
1650406	107,37
1650407	37,1749
1650408	770,218,131,705,37
1650409	218,37
1650410	127,663,643,770,467,429,218,910,107,436,128,37
1650411	2027,856,15,46,38,478,37
1650412	125,35,610,212,891,1013,208,848,37
1650413	56,643,188,2522,429,218,1428,436,37,702,176
1650414	1442,37,764
1650415	221,127,37
1650416	37,93,8
1650417	37,334
1650418	221,37
1650419	536,37
1650420	37,2881,2874
1650421	56,90,907,131,37,1996,176
1650422	35,921,429,218,131,221,37
1650423	221,577,37,899
1650424	37,518,949,396
1650425	14,547,37,1060
1650426	417,37
1650427	1003,85,164,223,624,357,146,98,125,93,286,81,329,295,544,37,915,1072,505,1283,136,806,246,1277,507,124,680,177,899,1300
1650428	127,3652,2405,452,938,37
1650429	37,539,599
1650430	643,37,131
1650431	35,844,146,221,37
1650432	643,646,429,218,4098,995,15,107,848,37
1650433	46,37,81,128
1650434	37,2874
1650435	125,37,136
1650436	97,1635,68,107,46,146,1055,257,37,535
1650437	127,204,266,15,131,221,37
1650438	49,37
1650439	37,131
1650440	910,37
1650441	2556,643,162,464,146,143,536,37,214,505
1650442	188,46,436,38,37
1650443	3645,37,200
1650444	623,37
1650445	2089,1456,763,1609,37
1650446	37,286,16
1650447	56,218,95,893,107,113,131,949,221,2747,37
1650448	56,122,87,46,37
1650449	35,37
1650450	37,436
1650451	3692,3,208,272,37
1650452	37,4383,436
1650453	90,848,37,921
1650454	188,37
1650455	37,177
1650456	547,37
1650457	37,128
1650458	2006,37,292
1650459	534,37,438
1650460	37,44
1650461	429,107,37,188
1650462	1063,112,188,122,3268,37,841
1650463	188,37
1650464	2639,1256,2225,705,1996,643,1817,81,143,1063,2703,188,218,1849,1574,2420,128,37,1489,1793,231,217,3637,2010
1650465	365,1256,98,848,37
1650466	221,643,37,131
1650467	188,302,37,68
1650468	44,136,81,208,37
1650469	37,81
1650470	127,14,2143,620,257,221,37
1650471	56,921,95,131,221,37
1650472	223,37
1650473	308,37,60
1650474	223,67,848,37,177
1650475	15,37,95
1650476	1222,643,120,346,22,37
1650477	37,365
1650478	1577,37
1650479	37,539,436
1650480	577,37
1650481	37,169
1650482	37,48
1650483	37,46,131
1650484	37,1766,1182,70
1650485	84,272,72,502,37,177
1650486	643,107,37,1035
1650487	1677,37
1650488	483,37,630,104
1650489	37,131
1650490	35,37
1650491	37,128
1650492	216,685,763,37,776,1537
1650493	14,218,131,221,37
1650494	88,1392,387,539,956,369,37,93
1650495	37,702,763
1650496	160,3348,15,131,37
1650497	122,390,67,548,536,37,169
1650498	37,85
1650499	219,787,1157,46,316,37,19
1650500	643,107,37,177
1650501	107,37
1650502	266,30,88,32,179,46,450,876,131,72,204,91,87,152,37,752,365,797,192
1650503	188,37
1650504	35,37,1622,231
1650505	67,37,192
1650506	1217,164,223,624,620,37,1072
1650507	107,37,266
1650508	164,37,724,2762,72,421
