	47,413,792,495
704486	363,203,12,193,294,2,150,434,47,334,168,80,26,186,431,591
704487	56,76,32,215,35,233,179,133,65,81,84,43,143,1005,390,1522,47,1208,41,27
704488	161,371,57,334,7,530,3640,89,94,2,100,483,18,4,214,503,44,120,234,261,29,614,47,10,437,1539,195,156,110,282
704489	305,47,70,1546,361
704490	139,47,1085,495,186,195,8,261,214
704491	139,312,164,278,125,281,413,2929,440,44,309,255,557,716,288,391,47,195,341
704492	294,47,334
704493	159,63,47
704494	187,125,47,31
704495	206,47,612
704496	121,47
704497	139,47,495,57,18,33,1213,784,48
704498	47,495
704499	139,61,2642,78,47,33,316,16,431,5
704500	655,47,495
704501	47,495
704502	545,47
704503	30,47
704504	447,47,495
704505	139,1019,150,174,78,729,168,400,623,98,137,311,42,869,484,675,94,1944,286,329,2793,44,340,786,304,492,716,614,525,654,305,103,47,460,1095,285,258,195,16
704506	61,47,195
704507	132,380,570,47,7,907
704508	44,920,47,258,8,281
704509	96,227,443,9,659,47,543
704510	85,160,28,312,495,511,89,413,1198,123,405,570,579,3,309,158,121,864,47,341
704511	374,321,61,47
704512	47,495
704513	503,47,437,261,214
704514	47,545,57,495
704515	47,495
704516	85,311,371,278,460,47,229,271,230,516,124,98,463,214
704517	47,991,495
704518	2111,150,47,357,186,1982,156,520,361
704519	1314,47
704520	47,334
704521	56,1761,85,1132,66,801,204,307,188,87,47,440,539,982,143,2384,387,421
704522	202,761,47,541,214
704523	716,1939,47,495,4597,121,258,341,234,5
704524	655,1090,78,47,495,304,63,285,156
704525	47,495
704526	336,288,224,94,212,1081,156,47,400,842,8,2287,520
704527	44,94,391,47,635,400,3274,229,8,156,520,612
704528	2316,294,47,334,214
704529	47,495
704530	47,495
704531	47,281
704532	29,96,245,299,103,47,138,63,1023,169
704533	451,47
704534	47,334,8,431,261,214
704535	47,611
704536	229,294,47,16
704537	371,85,47
704538	458,47
704539	109,1735,2,147,47,230,124,5,2258
704540	132,47,334,304,261,214
704541	304,47,495
704542	1988,78,47
704543	465,31,47,1472
704544	47,334
704545	495,594,36,33,137,92,2,291,456,206,483,196,18,59,1113,1076,247,40,170,31,277,20,239,380,120,936,479,551,256,136,47,229,26,149,489,16,112,237
704546	47,768
704547	47,495
704548	431,47
704549	304,47,334
704550	47,495
704551	47,495
704552	139,294,47,334,259,495,22,57,63,285,430,33,5,173,34,118,48
704553	503,294,47,334,214,1382
704554	294,437,47,334
704555	47,799
704556	801,307,87,47,154,152,982,2719,421
704557	2,374,47
704558	374,61,47
704559	363,360,294,412,371,47,156,261,214
704560	1056,47,334,159,18,42,261,214
704561	47,1045,211,164
704562	729,47,495
704563	164,47,290,125,0
704564	61,47,495,980,374,416
704565	214,47
704566	278,47,16,230
704567	139,431,47,149,374,214
704568	294,937,47,334,186,214,140
704569	545,172,47,261,3633
704570	503,139,12,294,2070,614,376,134,2,47,229,437,304,214
704571	160,28,2643,694,414,728,47,782,859,1356,16,1141,341,195,48
704572	249,431,999,47,495,400,374,541,5
704573	47,495
704574	47,334
704575	294,431,47,495,334,259,186,4263,110,118
704576	47,495
704577	29,976,44,412,317,560,47,40,235,199,1316,8,341,110,2588
704578	504,85,139,24,432,230,33,36,311,463,123,406,31,9,114,546,8,118,136,391,1328,47,229,159,198,124,16,252
704579	214,47
704580	967,47,530,843,159,495,730,258,410,337,234,261,249,214,2379
704581	139,47,391
704582	2,186,47,16
704583	614,212,47,869,176
704584	294,371,47,334,214
704585	47,334
704586	162,47,70,98,156,5,214
704587	449,47
704588	186,47
704589	12,224,412,47,550,156,40
704590	172,801,160,719,47,334,80,186,562,33,48,2171,1699,589
704591	942,413,101,759,737,394,2176,47,57,457,159,271,321,2171
704592	206,47,334,121,828,637,281
704593	142,47,191,121,463,520,486,318
704594	262,139,61,134,920,206,297,47,281,181,33,1013,140,48,612,1017,361
704595	47,156,261,249,214
704596	47,495
704597	96,78,1038,1744,495,57,63,137,34,251,12,94,196,23,40,1723,50,412,8,118,322,47,641,229,195,110
704598	294,47
704599	503,101,371,47,571,439,334,570,57,321,261,118,214
704600	3,304,47,318
704601	164,446,150,278,78,1085,334,70,367,63,98,125,66,1198,206,173,612,44,402,309,255,8,136,147,47,195,343,48,5
704602	9,1090,47,495,4597,1213,374,534
704603	47,495
704604	2,47,495
704605	206,47
704606	80,203,47,3
704607	413,503,1929,362,719,286,47,334,495,158,374,261,214
704608	8,47,550
704609	719,47
704610	153,61,47,495
704611	78,47
704612	47,495
704613	249,47,8
704614	408,85,514,1986,1865,2132,54,445,47,490,137,105,472
704615	156,47,1189,1830
704616	132,47,495,54
704617	31,132,47,159,34
704618	277,1155,47,259,57,304,1013,261
704619	139,446,335,286,47,70,48,66
704620	503,214,47
704621	654,47
704622	374,47,495
704623	1454,48,2526,47
704624	503,47,768,495,261,214
704625	482,391,206,47,495,22,304,58,195,809,173
704626	374,47
704627	47,246
704628	158,40,47,495
704629	527,101,47,495
704630	283,47,1841,53,75
704631	96,449,139,61,655,47,495,195,110,249
704632	374,47,495
704633	98,47,492,66
704634	1384,302,47,1381
704635	47,495
704636	47,495
704637	482,1232,132,1085,634,193,1805,326,3150,946,642,46,131,596,479,121,234,506,202,391,47,26,167,201,302,252
704638	716,47,402,309,230,343,173,5,66
704639	449,294,47,495,334
704640	63,324,47,495
704641	438,90,174,391,156,47,495,907,440,341,463,5
704642	1103,1560,548,129,251,484,94,3976,18,431,374,9,8,118,2893,101,1577,47,991,156,110
704643	47,495
704644	31,47
704645	47,168
704646	655,2620,525,412,371,338,47,334,159,63,195,534,1122,48
704647	294,47,334,495,63,374
704648	719,367,1391,33,140,89,320,326,18,828,173,402,158,309,147,47,80,198,343,165,5
704649	29,465,47
704650	884,9,47,290,33
704651	230,286,47
704652	47,334
704653	348,57,47,495,33,8
704654	1030,48,47,525
704655	437,47
704656	1797,412,322,47,261,1359
704657	465,868,224,24,202,1334,74,47,1146,1189,271,187,393,8,110,556,612
704658	47,285,8,156,34,1879,1713
704659	477,47,495
704660	363,47,346
704661	503,294,2,47,437,516,214
704662	605,47
704663	47,495
704664	47,495
704665	301,172,160,720,122,1873,391,1011,47,158,208,1013,5,251
704666	47,495
704667	435,832,995,47,186,341
704668	413,101,142,920,47,374,552,118
704669	47,159,112,287,214
704670	261,83,47
704671	104,47
704672	47,516
704673	47,495
704674	47,1597
704675	47,495
704676	78,47,311
704677	47,495
704678	47,495
704679	47,570
704680	139,61,156,47,768,550,400,63,374,261
704681	47,1834,57
704682	1101,47,1842
704683	2443,47
704684	174,47
704685	801,87,47,255,431
704686	47,495
704687	484,101,47,66
704688	294,47
704689	47,495
704690	110,907,47
704691	446,371,78,334,230,98,1013,140,1890,1100,403,214,503,294,158,261,924,1435,47,246,1095,437,195,156
704692	31,345,212,47,7,156,552,116,48
704693	47,113,322
704694	103,47,495
704695	189,162,312,164,850,719,371,78,858,1146,334,70,251,89,1488,99,675,211,1032,94,2,628,273,214,318,503,44,1865,294,91,158,309,121,4249,261,101,655,156,47,229,154,437,285,195,341,48,5
704696	243,504,569,28,239,345,47,57,632
704697	47,495
704698	189,203,1007,850,78,1801,357,495,209,36,1023,140,66,243,12,61,675,2642,2,1478,138,3453,118,301,2584,322,305,47,10,3422,285,507,16,156,2392,27
704699	85,47,8,1045,214,281
704700	614,47,635
704701	482,31,1209,47,63
704702	101,61,78,118,47,235,158,304,919,261,8,156,34,5
704703	515,47
704704	47,495
704705	47,66
704706	437,214,47,334
704707	1007,659,554,317,635,173,4,1789,44,327,136,322,305,47,229,58,198,1896,2526
704708	9,453,1189,47,321
704709	47,495
704710	750,633,925,445,78,130,123,406,4,3594,2265,44,141,158,1237,29,47,3119,0
704711	24,446,334,623,2390,2287,254,61,317,1198,1594,420,318,2154,290,800,29,47,80,16,847,48,963
704712	1417,495,47,334,374
704713	503,47,437,261,214
704714	47,495
704715	371,48,47,140
704716	91,30,47,1146
704717	47,495
704718	431,47
704719	295,560,47,492,124,431
704720	96,85,431,54,391,47,495,907,156
704721	159,158,47
704722	47,495
704723	159,437,329,47
704724	294,437,214,47
704725	527,47,334
704726	503,214,47
704727	299,47,1085,334,495,321,374,1454,534,5
704728	160,402,47,334,159
704729	463,47,3
704730	47,63,58,346
704731	47,334,437,261,214
704732	709,2,560,47,334,285,89
704733	282,438,47,495
704734	2570,22,2888,47
704735	47,334
704736	229,224,47
704737	71,2111,307,47,117,25,425,3,82,667,539,495,311,88,273
704738	50,101,47,1437
704739	434,623,129,36,784,214,503,224,412,304,321,208,261,1435,47,437,507,258,156
704740	437,47,334
704741	870,24,305,147,47,271,249
704742	503,371,47,768,334,495,437,214
704743	668,47
704744	709,335,1481,78,22,1037,63,274,140,251,89,12,1963,2,59,277,158,304,208,1728,2978,655,288,103,47,229,867,285
704745	294,47,334
704746	503,294,2,371,47,334,261,214
704747	47,495
704748	281,47,334
704749	159,206,118,47
704750	24,94,47,48,629,66
704751	24,2,371,47,230,53,1127,156,1013,249,281,486
704752	47,495
704753	159,139,47
704754	907,506,47
704755	150,47
704756	158,371,47
704757	545,94,47,768,495,186,374,405
704758	104,47,495
704759	65,47
704760	28,47,2942,57,22,244,908
704761	482,1090,334,22,181,294,1952,304,261,301,614,136,47,466,285,113,198,48,5
704762	47,311
704763	47,495
704764	431,437,47
704765	3362,294,446,174,830,47,70,2664,1174,696,34,118
704766	139,174,1146,168,311,88,34,251,61,646,94,2,206,974,3252,318,31,158,516,337,261,540,231,654,391,103,47,154,667
704767	503,294,371,47,334,437,214
704768	139,150,174,920,729,623,1665,374,273,31,402,121,607,540,1435,101,716,103,47,1401,16,156,110
704769	412,47
704770	47,334,495,181,374,214
704771	430,74,47,1266
704772	374,389,47,2268
704773	47,495
704774	1435,160,2642,719,78,47,1040,2538,334,158,437,70,258,8,431,5,214,89
704775	139,614,319,136,212,47,229,271,129
704776	61,305,47,334,140
704777	214,47,334
704778	449,139,61,519,47,70,158,8,431,5,140,540
704779	197,403,712,2577,1218,47,495,683,2485
704780	1077,389,47
704781	50,78,47,334,495,249
704782	431,214,47,495
704783	1852,298,525,174,434,47,2848,159,235,138,8,60,261,361
704784	606,24,150,212,47,235,129,187,48
704785	312,920,624,729,311,784,413,455,211,431,173,273,625,720,570,309,121,341,47,806,2010,458,1998
704786	110,47
704787	24,132,434,361,66,843,44,212,340,3,158,8,255,1189,47,235,341,110,5
704788	40,47
704789	261,47,334
704790	374,1016,47
704791	47,495
704792	47,1830
704793	47,495
704794	203,212,47,334,77,130,22,1174,214,140
704795	1902,47
704796	96,360,504,28,1426,623,38,1441,491,211,319,54,18,857,247,807,50,545,720,114,6,948,107,121,118,301,284,297,47,156,26,1536,165
704797	101,47,334,156,214
704798	47,495
704799	374,47,281
704800	363,888,54,47,286,355,7,129,490,562,16,255,156,125
704801	197,121,47
704802	47,1040
704803	189,545,160,47
704804	319,94,322,305,47,1608,741,159,166,2039,1104,7,1922,1135
704805	206,214,47,261
704806	47,495
704807	851,44,94,1873,47,1055
704808	235,47
704809	294,371,47,334,437
704810	47,334
704811	174,139,47,25
704812	374,47,18,36
704813	47,495
704814	12,104,47,1219,10
704815	371,261,47,334
704816	294,371,47
704817	78,47,495,457,158
704818	527,47
704819	1310,319,288,560,47,1799,191,30,329,183,8,156,110,190,361
704820	203,139,850,78,1085,265,1879,93,2,44,91,321,506,540,391,147,103,47,1095,271,53
704821	47,180,1127
704822	503,85,294,371,47,765,334,437,156,261,214
704823	655,288,44,719,47,495,1830,229,154,63,121,195,431,302
704824	482,47,495
704825	50,34,47,495
704826	47,495
704827	252,47
704828	47,495
704829	374,47
704830	391,47
704831	47,141
704832	159,47,495,334
704833	503,371,460,47,495,334,214
704834	139,47,495
704835	29,47
704836	371,47,229,343,110,1257,214
704837	156,132,47
704838	294,47,70,768,334
704839	654,101,47
704840	605,139,655,162,24,446,412,94,47,1595,63,285,195,302,48
704841	9,44,446,2563,47,613,183,1688
704842	47,495
704843	47,495
704844	61,294,371,47,334,437,214
704845	85,371,78,357,334,230,98,331,362,2,2293,214,503,295,294,1953,47,229,437,124,2392
704846	47,334
704847	1291,47
704848	482,304,47
704849	294,47
704850	487,9,47
704851	47,495
704852	162,1507,24,446,1099,150,1801,357,433,181,33,34,125,1879,361,465,323,94,186,187,1804,4,214,20,2061,2850,842,492,354,8,327,261,449,3151,101,172,136,614,654,305,1189,47,229,210,437,235,16,124,1342,591
704853	158,47,281,1359
704854	825,47,642,527,60
704855	47,495,334
704856	101,24,47,495,367,343
704857	294,47,495
704858	943,631,78,334,1449,181,1529,424,12,193,376,54,903,74,695,1907,166,523,186,706,4,534,2773,214,50,294,114,882,1190,546,138,321,492,327,552,549,528,394,681,460,47,458,26,437,795,80,113,232,302,148
704859	47,281
704860	142,47,495,159,36,431
704861	224,288,47,495,159,63,1178,121,784
704862	413,605,47,547
704863	47,495
704864	47,495
704865	47,495
704866	47,495
704867	9,24,212,47,1907,8,431,40
704868	47,525
704869	1384,47,334,495,516,1381
704870	158,162,47,410
704871	47,495
704872	47,495
704873	402,47,124
704874	484,101,278,206,47,265,8,124,249
704875	363,139,12,193,2,47,304
704876	172,295,322,47,495,16
704877	503,294,371,47,334,437,304,195,214
704878	47,495
704879	47,495
704880	1800,61,47
704881	662,288,103,47,158,8,258,311,341,234
704882	413,47,186,304,63,121
704883	374,47,258
704884	503,294,412,134,622,825,47,630,334,210,437,261,214,0
704885	47,495
704886	276,77,47,264,60
704887	47,495
704888	304,47
704889	47,768
704890	827,1125,1395,120,460,47,1958,886,59,1127,234,214,1748
704891	503,294,1865,2,1799,47,334,309,214
704892	446,907,47,495
704893	156,47,98,159
704894	294,719,47,334,214
704895	229,47,374,991
704896	47,495
704897	47,1830
704898	47,495
704899	214,47
704900	431,47
704901	125,24,412,47,1799,229,1595,186,195,8,156,110,48,5,66
704902	63,48,47
704903	294,371,47,334,70
704904	61,47,334,495,121,374,534
704905	214,47,334
704906	399,47
704907	2,206,47,431,261
704908	503,371,47,334,121,261,214
704909	907,47,495
704910	104,47,495,1623,828,2247
704911	47,611
704912	437,47
704913	719,47
704914	503,294,136,371,47,334,1209,6,437,908,214
704915	47,495
704916	304,47,495
704917	374,110,47,495
704918	619,47,334,437,261,281
704919	47,495
704920	503,371,47,2178,334,437,18,33,293,214
704921	709,47,7,124,214
704922	374,61,47
704923	503,214,47
704924	61,47,235,2019,389
704925	225,371,78,334,70,311,463,94,206,214,503,294,6,1840,261,1397,690,738,288,525,542,47,229,3633,437,48,0
704926	47,495
704927	606,187,47,286
704928	47,495
704929	47,495
704930	801,206,47,495,159,17,186,2804,229,16,1721,374,1542
704931	121,47
704932	868,47,495
704933	47,495
704934	139,418,47,495
704935	156,326,47,495
704936	96,31,92,47,353,159,23,36
704937	109,47
704938	1022,43,47
704939	227,224,47,495,3198,137,110,40,864
704940	294,47,334
704941	371,437,47,334
704942	437,47
704943	186,47
704944	186,47
704945	560,47
704946	47,63,258
704947	214,18,47,334
704948	214,47
704949	465,224,288,132,1264,414,283,47,1830,182,1356,541,1122,611,540
704950	503,61,294,47,334,214
704951	503,85,104,47,334,437,3817,431,48,214
704952	47,495
704953	431,47,495
704954	47,495
704955	104,47
704956	45,663,1843,205,65,47,73,36,807,919,1409,4074
704957	47,61,57,104
704958	47,495
704959	269,139,1929,330,719,1028,2664,454,36,1336,88,463,89,245,491,104,326,946,457,18,534,520,51,299,342,986,1622,234,386,47,2582,53,377
704960	655,371,560,47,334,828,214
704961	139,294,47,334,495,919,374,261
704962	47,495
704963	3787,47,495,334,34,438
704964	2,78,47,3,63,53,98,5
704965	47,334
704966	374,47
704967	172,545,174,920,47,1143,15,309,229,527,258,98,156,924
704968	94,47
704969	527,47,334
704970	503,101,294,850,720,371,2,47,334,495,214,281,540
704971	29,460,47,845,463
704972	96,174,47,495,63,33,252
704973	371,214,47,334
704974	47,607
704975	47,495
704976	47,625
704977	482,197,24,150,78,357,230,562,533,869,66,1495,2644,556,402,47,113,16,302
704978	503,214,47
704979	101,224,991,47,357,495
704980	214,47,1177
704981	503,294,134,371,719,47,334,437,113,214
704982	465,47,23,1920,1580
704983	47,768
704984	47,495
704985	371,729,57,355,334,1388,12,1429,851,590,317,206,214,503,294,3,3134,304,836,683,947,261,47,437,58,1045,48
704986	261,47
704987	568,47,768
704988	47,53
704989	214,47
704990	47,495
704991	29,503,12,2,47,334,22,437,186,214
704992	925,47,400,235,63,16,251
704993	503,47,334,437,214
704994	412,47
704995	606,24,47,229,129
704996	1159,52,47,400,527,261,374,273
704997	47,1830
704998	78,47,25,158,2490,186,5
704999	47,334
705000	156,2,2848,47
705001	47,495
705002	47,495
705003	470,289,47,156,541
705004	94,2,47,3,168,261,8,110,302,34,118
705005	505,391,47,991,635,154,63,492,195,341,234,261,1760
705006	503,371,47,121,261,214
705007	214,47
705008	294,214,47
705009	2,857,47,20
705010	586,47,630,209,374,4,237,2724
705011	1435,47,495
705012	646,371,47,229,437,214
705013	63,47
705014	29,96,47
705015	437,47
705016	139,606,288,391,47,121,8,156,110,252
705017	371,47,334
705018	341,103,47,24
705019	1095,710,47
705020	391,47
705021	96,28,24,622,334,2055,432,495,129,63,34,2964,12,319,104,196,247,612,2467,602,354,29,1523,47,1659,154,969,5
705022	655,47
705023	2962,47
705024	2551,47,495
705025	304,61,47,261
705026	294,887,2,371,47,355,334,1104
705027	586,681,47,495,907,374,327,48
705028	2,1437,47,495
705029	224,160,78,47,334,527,907,156
705030	363,2316,193,1177,3847,434,894,47,334,1533,400,229,867,1380,2190,814,1934
705031	47,495
705032	63,47
705033	47,1189
705034	47,516
705035	101,47
705036	371,214,47,334
705037	142,294,206,276,47,264,241,77,3667,1174,187,431,1122
705038	47,851,495
705039	631,446,920,70,389,1023,287,2,374,534,612,50,138,1213,255,3069,525,47,159,285,1760
705040	1495,294,2,78,434,47,526,334,495,302,273
705041	605,1003,870,54,47,495,63,311,1382
705042	374,1125,47
705043	101,44,719,1198,47,70,463
705044	371,920,955,334,367,63,125,326,3604,18,23,828,4,214,503,294,261,47,159,437,3016,156,5
705045	371,437,47
705046	47,495
705047	431,47
705048	47,495
705049	47,334,850
705050	47,495
705051	24,57,334,623,129,63,281,140,193,2,273,214,294,121,540,655,47,3333,16,591
705052	1222,139,709,54,104,1192,220,47,2695,432,181,1834,40,2258
705053	156,47,98
705054	134,47,2238,16,195,33,247
705055	294,47
705056	47,495
705057	482,47
705058	50,503,1116,47,437,961,374,214
705059	61,47
705060	440,87,47,421
705061	29,598,407,724,47,259,10,11,321,40
705062	156,110,224,47
705063	12,61,560,659,283,47,110
705064	47,552,147,439
705065	503,294,371,47,334,437,261,214
705066	197,47
705067	311,61,519,94,174,47,1830,8,234,89
705068	47,48,991
705069	47,495
705070	312,44,132,94,212,47,495,130,63,802,628,48
705071	71,851,24,91,2137,47,495,53,156,281
705072	465,12,61,675,2196,94,2,47,495,80,186,129,16,1020,374,195,112
705073	224,47
705074	371,503,47
705075	503,12,57,47,214
705076	110,47
705077	63,47
705078	83,47
705079	186,225,47
705080	101,162,61,160,940,104,47,1042,15,166,907,121,192,1471,140
705081	371,47,495,374,214
705082	47,495
705083	294,47,334
705084	2,520,61,47
705085	156,206,47,495
705086	1789,528,203,31,319,508,738,2926,2181,151,386,1328,47,259,1039,1536,4,1597
705087	104,1198,47,495,39
705088	374,47
705089	925,545,47,495,405
705090	112,47
705091	294,371,47,334,343
705092	614,94,47,495,437,389,121,261,974,195,48,5,377,214
705093	449,606,47,156,1122
705094	1268,78,47,230,121,3561,785,4486,5
705095	503,294,47,334,437,261,214
705096	957,224,132,412,42,47,843,77,110
705097	24,371,78,47,570,70,402,527,8,34,118,625
705098	47,495
705099	85,47
705100	214,47,1090
705101	294,624,87,47,4079,440,192
705102	655,47,166,562,98,112
705103	371,47
705104	47,495
705105	47,495
705106	503,214,47
705107	47,495
705108	449,305,659,47,39,495,235,214
705109	957,85,9,28,754,47,334,187,23,1472,541,281
705110	371,57,389,1023,61,298,166,244,374,4,214,527,138,321,261,552,3065,655,103,47,195
705111	212,47
705112	1931,503,655,614,294,362,2,371,47,355,229,22,437,311,261,214,140
705113	139,321,47
705114	47,495
705115	63,47
705116	47,495,802,261,237,214
705117	29,47
705118	545,47
705119	47,495
705120	47,495
705121	720,47,123,77,63,1127,251,89
705122	136,322,391,47,495,527,195,255,125,5,66
705123	527,47
705124	47,495
705125	47,495,334
705126	628,63,47,495
705127	162,28,24,446,164,4198,129,63,98,463,125,1299,2930,612,17,321,8,101,322,391,1189,47,547,4041,271,195,53,302,48
705128	527,47,334
705129	371,47,334
705130	96,139,712,495,432,22,129,1336,287,140,3498,1100,61,2642,2939,1921,431,720,340,570,3,1356,541,322,874,47,283,550,235,26,591
705131	801,47,495,15,1288,1359
705132	503,214,47
705133	94,391,206,47
705134	503,85,94,47,334,437,214
705135	47,1659,2402
705136	467,622,497,334,200,245,94,2,2571,4,520,1293,609,503,1657,294,148,299,6,1595,321,924,690,47,285,58,113,190,2990
705137	212,47
705138	85,371,47,495,159,195,173,214
705139	29,47,20,168
705140	214,47
705141	139,24,129,63,36,634,99,126,43,612,625,212,3177,340,8,449,101,654,391,47,154,48
705142	47,495
705143	281,47,495
705144	101,47
705145	132,47
705146	261,47
705147	2614,3483,1036,47,495,437,63,3173,3721,393,1359
705148	431,139,47
705149	412,187,47
705150	1310,224,759,431,1099,376,1299,412,150,156,47,229,1380,16,784,118
705151	294,214,47,334
705152	371,47,334
705153	47,495
705154	431,139,47
705155	78,278,47,98,156
705156	925,47
705157	47,192
705158	371,1902,47
705159	2033,1733,47,25
705160	3493,224,2,120,89,341,47,495,527,156,361
705161	47,495
705162	3361,47,831,370,472
705163	158,47,8
705164	96,449,24,2,47,156
705165	374,47,495
705166	413,101,47
705167	2316,47,294,495
705168	47,495
705169	495,5,47,1006
705170	482,101,752,47,129,281
705171	312,47,158,321,311,261,5,924
705172	47,495
705173	294,47,334,495,628,281
705174	719,47,89
705175	121,47
705176	503,47,334,437,214
705177	294,47,495,334,125
705178	288,47
705179	12,720,24,310,47,264,77,550,129
705180	101,94,326,47,63,492,195,5,89
705181	503,47,334,437,261,214
705182	514,224,829,92,31,132,137,603,20,1166,47,495,25,229,733,11,551,40
705183	29,47,141,10,1039,137,341
705184	294,48,47,334
705185	197,164,78,1085,495,98,5,125,48,2929,94,104,1198,206,558,534,830,340,121,118,103,47,460,285,1277,302,112,252
705186	279,39,530,42,463,746,950,245,99,441,457,912,43,520,609,390,299,707,234,438,288,435,47,5
705187	304,47,16
705188	139,31,407,1799,47,495,159,63,18,2228,48
705189	504,514,185,383,78,47,40,6,1139,522,232,8,156,34,118,293
705190	101,2,174,47,285,318,8,156,5,89
705191	503,294,47,334,33,214,281
705192	224,47
705193	288,9,20,412,968,47,229,304,886,156,110,520
705194	158,47
705195	189,61,288,394,94,212,560,693,47,259,353,195,8,110,318
705196	47,495
705197	867,47
705198	449,255,720,24,47,615,80,187,3814,562,18,8,431,416
705199	2378,1327,47
705200	371,214,47
705201	374,47,495
705202	47,258,334
705203	484,2,47,374,214
705204	61,631,104,555,434,460,47,334,78,159,77,1595,285,18,516,635,195,34
705205	437,196,47,495
705206	96,85,44,2366,345,283,47,111,357,70,771,2490,129,316,1106,1213,2526
705207	412,895,47
705208	491,391,47,111,241,113,200,125,520,361
705209	174,47,2402
705210	47,495
705211	446,47,495
705212	465,139,160,47,271,53
705213	49,174,279,38,478,511,88,93,889,310,60,477,318,537,44,579,308,449,47,856,425,581
705214	294,371,47,334
705215	301,47,684,437,2993
705216	1929,47
705217	47,495
705218	716,47
705219	413,751,759,939,1717,1101,3213,874,47,1134,1500,907,1154,625
705220	750,2278,1844,495,63,1987,319,2293,135,18,908,420,1555,374,247,318,661,2227,141,1156,472,690,655,1526,47,1659,199,285,2425,969,0
705221	407,495,623,181,389,33,463,634,828,374,534,720,212,118,47,26,80,802,58,3016,148
705222	47,495
705223	719,47,495
705224	229,329,288,47
705225	101,47
705226	47,1011
705227	174,47
705228	47,495
705229	503,285,47
705230	614,224,925,412,2,206,47,186,195,431,48
705231	31,18,47
705232	63,47,3339
705233	719,47
705234	867,47
705235	437,47,334
705236	495,47,516
705237	29,47,495,304,195,281
705238	229,460,47
705239	47,495
705240	139,449,288,560,47,121,431,110,2209,125
705241	1402,47,768
705242	214,47
705243	2230,47
705244	1222,1267,47,628,281
705245	47,495
705246	446,47,187,868,66
705247	47,57,792,845
705248	47,495
705249	833,160,156,47,768,745,3761
705250	78,251,89,413,1032,2,828,318,224,44,720,570,3,158,321,8,101,341,47,53,156,5
705251	61,47,334,374,261
705252	482,294,371,47,495,214,361
705253	301,656,2062,47,121,696,221,1578,3284
705254	47,1841,388,159,437,121,33,1069
705255	77,47,80,450,261
705256	47,1384
705257	503,719,47,117,214
705258	656,2174,624,3514,47,145,910,527,2036,3338,285,1570,1711,93,261,505,573
705259	341,47
705260	63,47,334
705261	47,495
705262	503,85,101,294,371,435,47,334,400,158,121,261,214
705263	47,495,526,57,527,389,138,182
705264	305,89,2152,47,8,341,361
705265	374,304,47,495
705266	197,47,495
705267	1352,78,286,47,70,1517
705268	101,709,614,294,371,47,334,6,400,406,214
705269	47,89
705270	214,47,334
705271	7,139,47,920
705272	907,495,47,195
705273	47,495
705274	503,2,371,47,437,214
705275	503,294,371,47,334,70,98,156,214
705276	363,503,211,683,47,495,25,22,328,533,374,4,214
705277	225,503,614,294,47,355,210,235,156,214
705278	47,195
705279	374,47,495
705280	294,94,47
705281	294,47,334,63,321,173
