	3980,418,324,649
2489421	381,324,517,650
2489422	529,324
2489423	95,1755,329,324
2489424	1354,324
2489425	324,33,445
2489426	324,1086
2489427	324,439,41,72,51
2489428	1761,324
2489429	86,1426,324,409
2489430	324,242
2489431	324,855
2489432	324,92,182,235,34,118
2489433	324,1097,1106
2489434	270,324
2489435	324,505,176
2489436	324,767
2489437	4018,1531,324
2489438	304,324,8
2489439	1200,324
2489440	324,34,1086
2489441	738,324
2489442	426,324
2489443	125,1170,324
2489444	324,1097
2489445	1200,324
2489446	324,445
2489447	324,2141,6
2489448	323,778,324
2489449	3278,324
2489450	324,2907
2489451	292,324
2489452	947,324,1778
2489453	4563,324
2489454	4,324
2489455	324,377
2489456	324,296
2489457	238,175,324
2489458	1644,324
2489459	324,1135
2489460	597,324
2489461	418,324
2489462	1909,1073,324
2489463	633,324
2489464	63,714,324
2489465	324,4145,4749
2489466	324,2601
2489467	1170,324
2489468	418,324
2489469	159,324,145
2489470	418,324,28
2489471	2,324
2489472	324,492
2489473	324,1167
2489474	515,324
2489475	63,324
2489476	324,294,1339,1420,919,839,242
2489477	338,778,324
2489478	324,1398
2489479	324,23,948,318
2489480	1303,324
2489481	80,324
2489482	778,324,583
2489483	418,324
2489484	324,325
2489485	795,324
2489486	16,324,2591
2489487	324,1681
2489488	2,324
2489489	34,324,1473
2489490	54,324
2489491	381,324
2489492	324,9
2489493	1303,2970,324
2489494	54,324
2489495	112,324
2489496	90,324
2489497	3459,324,933,473
2489498	4,324
2489499	48,324,222,124
2489500	775,324
2489501	385,324
2489502	324,334
2489503	465,324
2489504	418,324
2489505	201,324
2489506	365,324,402,286
2489507	1885,324
2489508	372,324,728
2489509	238,324,86
2489510	1295,324
2489511	381,324,461
2489512	3775,324
2489513	324,69
2489514	327,324,1015
2489515	324,1136
2489516	324,835
2489517	418,324
2489518	324,1040
2489519	48,324,16,1011
2489520	324,501
2489521	324,2055
2489522	529,324,1557,531,2087,418,836,1354,1167
2489523	893,324
2489524	3545,324
2489525	109,324
2489526	3188,418,324,583
2489527	1278,324
2489528	324,409
2489529	324,354
2489530	302,324,223
2489531	60,324,1209
2489532	4,324
2489533	238,324,517,222
2489534	324,926
2489535	324,1149
2489536	101,324,330,760,472,649
2489537	324,1086,795,1224,1354
2489538	418,324,626,86
2489539	1052,324
2489540	1574,324
2489541	1883,324
2489542	418,324,2845
2489543	291,651,324
2489544	2,324
2489545	4,1200,324
2489546	643,324,76
2489547	1426,324
2489548	324,320
2489549	2933,3366,324,396
2489550	418,182,324,691
2489551	2839,324,1451,1219
2489552	714,324
2489553	1200,324
2489554	324,390,299,622,1149
2489555	381,324,473
2489556	1397,324
2489557	170,324,494
2489558	418,324,241
2489559	301,324,44
2489560	381,324
2489561	1326,324,426,1204,459,418,489
2489562	324,86
2489563	2108,965,579,324
2489564	324,1611,175,695,3446,472
2489565	3740,366,324
2489566	1574,324,926
2489567	418,324
2489568	418,172,324
2489569	651,324
2489570	418,324
2489571	324,1655,1213
2489572	3500,324
2489573	909,324
2489574	324,233,2492,728,382
2489575	324,177
2489576	621,324,2684,3468,381
2489577	324,54,78,630,687
2489578	324,578
2489579	159,324
2489580	304,324
2489581	787,63,324
2489582	324,223,763,876,177
2489583	324,2538
2489584	597,324
2489585	324,118
2489586	2,324,16
2489587	324,3971,1201
2489588	175,324
2489589	418,324
2489590	324,281
2489591	418,324
2489592	529,324
2489593	324,681,2052,2862,641,668,947
2489594	324,58,2748
2489595	324,1716
2489596	324,137
2489597	1673,324
2489598	2089,324
2489599	324,233
2489600	367,1257,324
2489601	324,2078
2489602	182,324
2489603	324,76
2489604	324,3287
2489605	324,501
2489606	324,971
2489607	324,210,285,374,34,176
2489608	914,324
2489609	426,1887,324
2489610	324,183
2489611	229,288,324,251
2489612	3269,324
2489613	1278,324
2489614	63,324
2489615	714,324
2489616	324,1819
2489617	360,600,324,493
2489618	324,219
2489619	228,324
2489620	360,324,626,175,1200,714,381,909
2489621	360,600,324,493
2489622	324,222,501
2489623	795,324
2489624	15,324
2489625	381,1393,324
2489626	1317,324,732,600,1863,775,32,717,2900
2489627	313,1531,324,2544
2489628	365,324
2489629	85,324,372,4315,913,4
2489630	4,324
2489631	597,324,320,291,461,1704,242
2489632	324,1086
2489633	360,600,324,493
2489634	54,324
2489635	4,324
2489636	324,143
2489637	50,182,324,300
2489638	324,1086
2489639	903,112,324,764
2489640	324,1017
2489641	324,92
2489642	1539,324
2489643	690,324
2489644	228,324
2489645	324,216,93
2489646	170,48,324
2489647	1224,324
2489648	307,324
2489649	546,324
2489650	381,324
2489651	2,324
2489652	381,1361,324,494
2489653	324,412,159,4,1597
2489654	529,324,1361,2345
2489655	291,175,324
2489656	392,1303,324
2489657	210,324
2489658	426,324,650
2489659	364,324
2489660	2344,324
2489661	922,324
2489662	418,324
2489663	324,326,439,367,311
2489664	1100,709,324,402
2489665	324,111
2489666	324,2013
2489667	1158,324,14,236
2489668	324,1985
2489669	417,324
2489670	324,90,210,539,143
2489671	324,575
2489672	175,324
2489673	324,609
2489674	324,2003
2489675	324,1472
2489676	381,324
2489677	324,397
2489678	600,324,1149
2489679	324,935
2489680	380,418,324,1560
2489681	366,324
2489682	3805,324
2489683	345,418,324,68
2489684	367,324,343
2489685	3504,324,1358
2489686	324,2458
2489687	324,354
2489688	324,426,90,3583,3095,418,956,1473
2489689	2,324
2489690	1208,324,517,779
2489691	324,320,439,402,367,343,1480
2489692	934,324
2489693	210,324
2489694	668,324
2489695	418,778,324
2489696	418,175,324
2489697	291,324
2489698	2329,324,494
2489699	3216,324
2489700	418,324
2489701	381,324
2489702	418,778,324,531
2489703	2183,324
2489704	324,153,54,235,271,63,195
2489705	228,324,229
2489706	381,324,650
2489707	324,260,86,1224,493
2489708	155,324
2489709	1742,324
2489710	691,324,1611,501
2489711	418,324,1471
2489712	227,324,335,1012,421
2489713	690,324
2489714	1383,715,324
2489715	418,324
2489716	324,426,2555,1086,418,370
2489717	778,324
2489718	324,296
2489719	778,324,1193,1965,2084,222
2489720	324,285,195
2489721	392,324,551
2489722	101,324,320,330,555,326,367,343
2489723	324,9
2489724	657,324
2489725	50,324,1491,75
2489726	324,494,6,209,392
2489727	54,1170,324
2489728	947,324
2489729	112,324,558
2489730	324,58
2489731	324,767
2489732	324,439
2489733	85,324,44,918
2489734	1932,324
2489735	2344,324
2489736	324,160
2489737	812,324
2489738	372,324
2489739	418,324
2489740	291,324
2489741	324,31,1135,320
2489742	324,1627,1201
2489743	597,324
2489744	182,324
2489745	324,377
2489746	324,1248,1337,911,3000
2489747	324,1209
2489748	324,1384
2489749	324,1576
2489750	324,375,111,771,200,1136,500
2489751	3026,324,318
2489752	324,1356
2489753	937,324,494,409
2489754	1753,324
2489755	100,324
2489756	755,324
2489757	600,324
2489758	2604,947,324,1442
2489759	330,479,302,324
2489760	324,58
2489761	324,85,9
2489762	175,324,935
2489763	812,324
2489764	1208,324
2489765	324,68,500
2489766	324,375
2489767	418,324
2489768	324,439
2489769	529,1473,324
2489770	459,324
2489771	289,324
2489772	324,6
2489773	418,324
2489774	2511,324
2489775	418,324
2489776	324,260
2489777	112,324
2489778	4,324,862
2489779	304,324
2489780	152,324
2489781	324,2128,6
2489782	324,297
2489783	418,324
2489784	324,1270
2489785	666,324
2489786	714,324
2489787	621,324
2489788	381,1200,324,86
2489789	955,324
2489790	324,366,338,771,2562,86
2489791	324,2266
2489792	1007,324
2489793	324,176
2489794	324,2669
2489795	282,324
2489796	3232,324,492
2489797	324,161
2489798	381,418,324
2489799	324,2180
2489800	569,324,2003,473
2489801	7,324
2489802	324,1841
2489803	324,531,1115,1086,372,418,58,1354,392,398,222
2489804	324,176
2489805	101,324
2489806	324,501
2489807	934,324
2489808	324,558
2489809	130,324
2489810	330,324,320
2489811	778,324
2489812	302,2242,324
2489813	63,324
2489814	324,222,543
2489815	202,324,2903,200
2489816	1326,324,853,418,86,381,242,2748
2489817	4,324
2489818	381,134,324
2489819	324,111
2489820	324,992
2489821	324,494
2489822	597,324,501
2489823	324,1127
2489824	2263,324
2489825	324,761
2489826	555,324
2489827	324,1270
2489828	324,161,11,23,377
2489829	2213,324
2489830	4,324,33,666
2489831	324,678,1086,935
2489832	324,963
2489833	324,611
2489834	324,222
2489835	2344,324
2489836	385,1525,324,517
2489837	1378,324,1248
2489838	154,324
2489839	1988,324
2489840	324,2453
2489841	324,717
2489842	229,324
2489843	291,324,58
2489844	3237,418,324
2489845	11,324,23,58
2489846	159,324
2489847	324,1408
2489848	238,324
2489849	4,1677,324,439
2489850	158,324
2489851	849,929,324
2489852	2089,324
2489853	3500,324
2489854	324,531
2489855	1420,324
2489856	808,67,324
2489857	324,75
2489858	1200,324
2489859	846,238,324
2489860	324,1447
2489861	291,324
2489862	385,111,324,381
2489863	324,1929
2489864	4,324,439
2489865	324,3530,1590,691
2489866	1657,324
2489867	324,1086
2489868	95,324
2489869	1337,324,1627,2045
2489870	714,778,324,691
2489871	691,324,320,1248
2489872	1354,324,1236
2489873	390,324
2489874	324,714,2226,809
2489875	324,2601
2489876	158,849,324
2489877	3138,1795,418,324
2489878	418,324
2489879	324,103
2489880	1224,324
2489881	336,690,324,224,80,118
2489882	324,494,175,935,1655,783,381,392,691
2489883	2,34,324,851
2489884	324,2337,3281
2489885	418,324
2489886	270,324
2489887	324,439,1189,143,702
2489888	2919,418,324
2489889	1200,324
2489890	2452,324,1086,1135
2489891	336,80,324
2489892	324,28
2489893	853,324
2489894	112,324
2489895	324,424
2489896	1824,324,674
2489897	307,324,764
2489898	474,324
2489899	291,324
2489900	50,324
2489901	426,324,242
2489902	324,2203
2489903	2492,1354,324
2489904	482,324
2489905	50,324
2489906	324,871
2489907	158,324
2489908	324,650
2489909	615,324
2489910	3404,324,2,58,318
2489911	324,103,543
2489912	372,324
2489913	324,38
2489914	30,324
2489915	324,622,288
2489916	175,324
2489917	418,324
2489918	324,44
2489919	922,324,16
2489920	67,155,324,257
2489921	367,324
2489922	206,324
2489923	808,324,1135
2489924	324,1590
2489925	324,6
2489926	95,324,76
2489927	324,86,41
2489928	324,355
2489929	597,324,1385,201,2485
2489930	324,2920,2176,418,1993,3110,2591
2489931	1303,324
2489932	206,324
2489933	291,324,1627,691
2489934	324,2337,493,583,691
2489935	622,324
2489936	324,439
2489937	324,583
2489938	3494,324,1086,3564
2489939	1512,134,2225,324
2489940	1761,3108,1107,324,932,155
2489941	324,2409,922,78,955,1574,158
2489942	238,324,86
2489943	4,324
2489944	201,324
2489945	657,324
2489946	324,1385
2489947	1890,324,573,137
2489948	324,285,343
2489949	2082,324,402,198,1675,118
2489950	482,324,58,1447
2489951	324,2049,4235
2489952	418,1426,324,501
2489953	324,160
2489954	175,324,651
2489955	292,324
2489956	808,324
2489957	11,324
2489958	324,494
2489959	175,324
2489960	648,324,2178
2489961	690,63,324
2489962	1257,324
2489963	418,324
2489964	418,324
2489965	795,324,1286
2489966	1669,324
2489967	228,324
2489968	381,324
2489969	324,596
2489970	381,324
2489971	324,717
2489972	412,8,324,1127
2489973	324,627
2489974	324,2748
2489975	324,1729
2489976	324,354
2489977	324,3556
2489978	1755,415,324
2489979	324,779
2489980	2078,324,779
2489981	324,2181,546,695,661,522,182
2489982	922,324
2489983	647,324,175,847,1238
2489984	3578,324
2489985	324,1540,155,650,2078,551
2489986	378,270,324
2489987	324,2458
2489988	392,324,531
2489989	3171,324
2489990	657,324
2489991	2427,324,154
2489992	324,145,222,424
2489993	324,3319
2489994	90,1158,324
2489995	418,324
2489996	324,691
2489997	418,324
2489998	324,28,54,4288,75
2489999	112,324
2490000	324,164
2490001	210,324
2490002	920,490,324
2490003	324,1147
2490004	621,324,159,270,58
2490005	54,324,801,655
2490006	324,1005
2490007	54,1476,324,635
2490008	324,600,1135,1200
2490009	529,324
2490010	715,324
2490011	378,324,76
2490012	324,926
2490013	528,270,324,286
2490014	1226,324
2490015	1761,324,175,111,381
2490016	324,9
2490017	148,569,324,33
2490018	91,324
2490019	324,979
2490020	324,209,142
2490021	790,324
2490022	1755,324
2490023	324,445,630,550,63,2287,190
2490024	291,324
2490025	1204,1609,324
2490026	392,1761,324
2490027	4408,324,161,426,473,168,501,201
2490028	210,324,381
2490029	130,324
2490030	324,176
2490031	324,2973
2490032	1824,1476,324,517
2490033	1200,324
2490034	324,291,175,201,381,600
2490035	291,324
2490036	914,324
2490037	302,324
2490038	201,714,324,381
2490039	710,324
2490040	1561,360,324,854,555,326,6,400,4,19
2490041	418,324,3387
2490042	324,140
2490043	381,324,650
2490044	324,241
2490045	324,355
2490046	324,118
2490047	504,324,92,903,183
2490048	1824,324,354
2490049	324,39
2490050	1416,1175,324
2490051	418,324
2490052	324,251
2490053	324,667,3318
2490054	1420,324
2490055	1677,324
2490056	324,142
2490057	324,439
2490058	324,63,224
2490059	1208,324
2490060	2872,324,354
2490061	714,324,198
2490062	482,746,324
2490063	3401,324,1617
2490064	522,324
2490065	307,666,324,982
2490066	2263,324
2490067	482,324
2490068	1238,324
2490069	202,324
2490070	324,2003,473
2490071	364,324
2490072	3002,324
2490073	4,324
2490074	605,326,324,154
2490075	529,324,175,1641,2225
2490076	4224,324,176
2490077	556,633,324,864
2490078	324,281
2490079	324,585,836
2490080	324,25
2490081	808,324
2490082	238,1679,324
2490083	324,296,464,1209,558
2490084	1693,324,1633
2490085	4139,324
2490086	324,325
2490087	324,200
2490088	11,327,324
2490089	324,2498
2490090	1200,324
2490091	426,324,3761
2490092	324,311
2490093	324,1627,1590
2490094	546,324
2490095	1224,324
2490096	854,324,3966
2490097	324,1198,562,16,148
2490098	324,117
2490099	324,136,2,147,1277,3252
2490100	1770,324,354
2490101	1483,324
2490102	302,398,324
2490103	600,324
2490104	324,1627
2490105	1203,324
2490106	911,324
2490107	1239,324,955,39,3,76,673,2973
2490108	324,240,67,76,148
2490109	324,160
2490110	4,324
2490111	381,324,558
2490112	324,764
2490113	1259,418,324,222
2490114	418,324,695
2490115	324,1197
2490116	412,324
2490117	529,324
2490118	1405,324
2490119	324,76
2490120	324,161
2490121	324,999,406,1260,124,273
2490122	1525,324,1043
2490123	324,58
2490124	324,103
2490125	324,926
2490126	1315,324,1533
2490127	313,324
2490128	2802,1210,324
2490129	2452,324,1086
2490130	1378,324
2490131	657,324
2490132	324,68
2490133	324,681,175,200,381,1303
2490134	1677,324
2490135	130,1342,324
2490136	324,2084
2490137	957,324
2490138	175,324
2490139	324,777,564,210,487
2490140	324,377
2490141	324,494,1086,795,155
2490142	1525,324
2490143	529,418,324,933
2490144	1838,324,2203
2490145	418,152,324,3460
2490146	413,9,324,6,110
2490147	324,343
2490148	1758,324
2490149	324,1109
2490150	324,334
2490151	372,2223,324
2490152	342,324,1270
2490153	63,324
2490154	324,54,206,63,321
2490155	1026,1946,324
2490156	324,168
2490157	292,324,76,217
2490158	2,324
2490159	914,324,58
2490160	324,418,1136,32
2490161	270,4,574,324
2490162	3378,324
2490163	324,285
2490164	324,1135
2490165	823,3242,324
2490166	360,85,324,9,24,252
2490167	324,1632
2490168	324,58
2490169	323,324
2490170	1809,324
2490171	324,439
2490172	324,372,3000,1087,1117
2490173	324,1210
2490174	324,426,418,1354,222
2490175	922,324,256
2490176	302,324
2490177	324,1660,809
2490178	152,324,260
2490179	101,324
2490180	324,445,782
2490181	324,4447
2490182	324,1576
2490183	1436,324
2490184	324,334
2490185	1420,418,324
2490186	324,345,385,795,201,381,1473
2490187	448,175,324
2490188	324,874
2490189	78,324
2490190	302,324
2490191	324,291,418,86,789
2490192	112,324
2490193	193,324,161
2490194	324,222
2490195	324,992
2490196	665,324,494,277,911
2490197	172,324
2490198	324,222
2490199	524,324,1944,779,327
2490200	112,324,355
2490201	569,324,2003,6,478,42
2490202	302,324
2490203	324,2101
2490204	778,324
2490205	2746,324
2490206	778,324
2490207	418,1295,324
2490208	2,158,324
2490209	417,324
2490210	381,324
2490211	324,36,251
2490212	101,324,439,343
2490213	324,578,52,894,201
2490214	52,324
2490215	504,324
2490216	380,324
2490217	324,222,763,1219
2490218	597,324
2490219	324,136,330,345,632
2490220	418,324
2490221	522,1761,175,324
2490222	302,324
2490223	2,80,324
2490224	400,690,324
2490225	324,2487
2490226	3022,324
2490227	324,86
2490228	324,3168
2490229	90,324
2490230	324,3495
2490231	3401,324
2490232	849,324
2490233	377,324,76
2490234	2812,324
2490235	324,2569
2490236	2492,324,1399,75
2490237	11,324,649
2490238	418,324
2490239	324,2512,2499
2490240	7,324
2490241	11,324,767,300
2490242	175,324,222,669
2490243	621,778,324,531,132,418,274
2490244	1761,650,324
2490245	458,324,6
2490246	1411,324
2490247	291,324
2490248	158,78,324
2490249	324,1056,130,33,34
2490250	1354,324
2490251	63,324
2490252	324,192
2490253	934,324,963
2490254	63,324
2490255	602,324
2490256	324,564
2490257	1022,324
2490258	3626,324,1445,153,2152,886,704
2490259	324,358
2490260	666,324
2490261	417,112,324
2490262	324,320
2490263	175,324,452,41
2490264	291,714,324,691
2490265	324,674
2490266	11,212,418,324
2490267	324,1086
2490268	597,324
2490269	369,302,324
2490270	2573,324
2490271	63,324
2490272	324,69
2490273	172,324,658,4418,1234,190
2490274	418,324,2748
2490275	109,324
2490276	4,324
2490277	324,4062
2490278	238,324
2490279	302,324
2490280	1446,324
2490281	182,324
2490282	132,324
2490283	324,418,583,182,222
2490284	569,324
2490285	2,78,324
2490286	714,324
2490287	418,324
2490288	345,324
2490289	324,717
2490290	324,2984
2490291	488,302,324,580
2490292	3401,324,1162
2490293	324,334
2490294	2,206,324,16
2490295	3627,324,76
2490296	1354,418,324
2490297	1875,324,805,1420,418
2490298	3529,324
2490299	324,886
2490300	324,500
2490301	1342,324
2490302	778,324,153,1215,418,2717,691
2490303	766,324,95,630,58,680,48
2490304	324,2790,1574,67,418
2490305	324,86
2490306	324,103
2490307	270,324,501
2490308	324,418,1492,222,691
2490309	381,324
2490310	1299,324,1766
2490311	324,44,63,16,302
2490312	291,324
2490313	324,1546
2490314	1225,324,500
2490315	622,324
2490316	651,324
2490317	193,324
2490318	697,324,41
2490319	78,324
2490320	324,33
2490321	201,2078,324,779
2490322	1397,324
2490323	324,409,564,200,1046,691
2490324	418,324
2490325	270,155,324,2669
2490326	2892,324
2490327	324,9
2490328	324,2900
2490329	716,324,772,63,886
2490330	324,354
2490331	324,578
2490332	2899,324
2490333	381,324
2490334	853,324
2490335	2078,324,779,168
2490336	324,296
2490337	778,324
2490338	324,160
2490339	1397,324,1277,38,195
2490340	418,324
2490341	112,324
2490342	324,311
2490343	381,324
2490344	324,9
2490345	1579,324
2490346	3062,324,2634,2820
2490347	381,324,997
2490348	324,2900
2490349	418,324
2490350	4,63,324
2490351	154,324
2490352	605,324,145,7,2347
2490353	324,708
2490354	308,844,324,238,272
2490355	4,324,281
2490356	4,324
2490357	947,324
2490358	50,170,324,256,1156,33,165
2490359	392,144,324
2490360	324,650,473
2490361	909,324
2490362	597,324
2490363	2,324
2490364	381,324
2490365	324,1627
2490366	324,219
2490367	324,161
2490368	488,324
2490369	714,324
2490370	324,1086
2490371	175,324
2490372	324,69,176
2490373	202,324
2490374	17,1200,324
2490375	324,2056
2490376	170,324
2490377	31,324
2490378	324,111
2490379	324,86
2490380	4,324
2490381	324,31,349,1981
2490382	324,494
2490383	63,324
2490384	11,324
2490385	324,161
2490386	622,324
2490387	324,86
2490388	324,763,1749
2490389	546,324
2490390	418,324
2490391	3805,324,1176
2490392	107,324
2490393	324,2748
2490394	324,409
2490395	555,324,439
2490396	418,324
2490397	1821,324
2490398	588,324
2490399	324,9
2490400	179,324
2490401	302,324
2490402	85,324,2,4,5,140
2490403	1238,324,2669,168
2490404	418,85,324
2490405	34,324,92
2490406	1000,1981,324
2490407	392,418,324,600
2490408	760,324
2490409	2,85,324
2490410	291,324
2490411	324,233
2490412	7,324,28
2490413	313,324,650,381
2490414	2078,324,779
2490415	324,439,76
2490416	175,324
2490417	324,219
2490418	270,324
2490419	621,324
2490420	1151,324,2181
2490421	538,324
2490422	597,1378,324,2003
2490423	385,324
2490424	418,324,33
2490425	910,324
2490426	336,324,302,33,374,4
2490427	324,630,394
2490428	324,1385
2490429	1022,969,324
2490430	426,324
2490431	651,324,238,849,795,1238
2490432	745,324,242
2490433	1204,324
2490434	651,324
2490435	714,324,764
2490436	849,651,324
2490437	849,324
2490438	1224,324,1148
2490439	154,324
2490440	50,324,1845
2490441	324,36,394
2490442	134,324
2490443	324,580
2490444	175,324
2490445	515,1709,324
2490446	324,858
2490447	324,531,1073,292,372,418,182
2490448	324,494
2490449	324,2238,3222
2490450	324,111
2490451	302,324
2490452	777,324,593
2490453	1669,324
2490454	324,1053
2490455	4,324,2550
2490456	3545,324
2490457	1046,324,855
2490458	1473,324
2490459	504,34,324,198
2490460	324,219,191,76,349
2490461	324,176
2490462	666,324
2490463	1204,324
2490464	63,324
2490465	63,1657,324,492
2490466	588,324
2490467	324,2,54,210,63
2490468	324,409
2490469	170,690,324,256,120,7,479,76
2490470	324,2557,58
2490471	227,324,754,234,520
2490472	546,324
2490473	418,324
2490474	324,1200,2571
2490475	3775,324
2490476	324,1086
2490477	1436,324,1924
2490478	569,324
2490479	324,3044
2490480	324,650
2490481	803,324
2490482	324,111
2490483	132,1378,324
2490484	324,627
2490485	324,311
2490486	1405,324
2490487	324,366,517,354
2490488	246,324,2268
2490489	4,324,6,153
2490490	307,538,324
2490491	1008,324,494,853,459,1240,2706,86,148
2490492	943,324,2,210,4
2490493	690,324
2490494	324,501
2490495	367,324,402
2490496	778,324,222,809
2490497	301,324,3620
2490498	372,324
2490499	369,72,324
2490500	324,2003
2490501	291,324
2490502	324,200
2490503	134,324
2490504	48,324
2490505	459,324
2490506	324,2666
2490507	324,1869
2490508	1259,324
2490509	175,324
2490510	150,324
2490511	324,630
2490512	367,326,324,343
2490513	2998,324
2490514	72,324,579,25
2490515	324,198
2490516	227,63,324
2490517	324,417,2582,2752,1704,2532
2490518	3,324,25
2490519	569,324
2490520	175,324,935
2490521	2185,324,330,678,933,1977
2490522	1008,324,494,1725,426,779,935,418,2567,1391,1642,691
2490523	4,324
2490524	324,650,935
2490525	1208,324
2490526	134,324
2490527	524,324
2490528	151,324
2490529	324,142
2490530	1525,324
2490531	324,2078
2490532	326,324,6
2490533	1200,324
2490534	270,324
2490535	597,324
2490536	2344,324
2490537	302,324
2490538	324,92
2490539	109,324
2490540	324,494,4093,1087,1492
2490541	745,853,324
2490542	2919,302,324,227
2490543	326,324
2490544	291,324
2490545	367,324,439
2490546	228,324
2490547	563,324
2490548	330,4,324
2490549	125,324
2490550	681,324
2490551	324,439
2490552	391,324,8
2490553	324,285
2490554	324,3052
2490555	175,324
2490556	324,2759
2490557	238,1466,324
2490558	324,97
2490559	175,324,2358
2490560	600,324,2542,75
2490561	324,409
2490562	324,934,1576
2490563	418,324
2490564	302,324
2490565	324,439
2490566	502,324
2490567	605,324
2490568	155,324
2490569	324,239
2490570	3194,238,324,2669
2490571	324,1086
2490572	324,405
2490573	324,418,32
2490574	324,11,418,691,222,1147
2490575	85,324
2490576	324,41
2490577	911,324
2490578	597,324
2490579	2829,324,219
2490580	324,3008,3697,381,242
2490581	210,1821,324
2490582	2,324
2490583	206,324
2490584	4,4183,2331,324
2490585	1295,324,375
2490586	383,443,324,494,744,209,501,274
2490587	2265,324
2490588	54,324
2490589	482,392,324,3049,501,381,4
2490590	330,326,324,320
2490591	324,44
2490592	657,523,324
2490593	324,935
2490594	324,334,36,302,34,118
2490595	324,76
2490596	324,2535
2490597	839,324,516
2490598	911,324
2490599	1669,324
2490600	3014,324
2490601	326,324
2490602	3049,324,1760
2490603	324,58,424
2490604	474,52,324
2490605	313,2071,324
2490606	330,324,19
2490607	324,445
2490608	1295,324,826,3689,853
2490609	1642,324
2490610	367,324,402
2490611	392,324
2490612	63,324
2490613	324,1900
2490614	324,764
2490615	150,324,16
2490616	11,324,161,2936
2490617	1061,324,188,3733,2523
2490618	1775,4104,324
2490619	31,324,394
2490620	1574,3907,324
2490621	324,222
2490622	418,324
2490623	367,324
2490624	324,1070,1863,409
2490625	324,270,650,381,1303
2490626	690,324
2490627	324,3665,795,418,2748
2490628	324,3425
2490629	381,324
2490630	2,324
2490631	324,2748
2490632	158,324
2490633	418,182,324
2490634	324,142,7,1037,237
2490635	597,324
2490636	1669,175,324
2490637	684,324
2490638	3002,324,256
2490639	380,324
2490640	324,710,640,325
2490641	418,324
2490642	1574,324,1590,627
2490643	324,76
2490644	324,252,44
2490645	922,324
2490646	2872,324,1372
2490647	911,324
2490648	324,501
2490649	324,200
2490650	324,2790
2490651	1354,778,324,1286
2490652	11,324
2490653	324,1270
2490654	324,493
2490655	324,161
2490656	3575,324
2490657	43,324
2490658	132,324
2490659	324,948
2490660	681,324
2490661	324,2748
2490662	324,1805,206,200,1245,48
2490663	2134,324
2490664	487,324
2490665	324,23
2490666	324,2104,206,1086,16
2490667	3310,324
2490668	324,1086
2490669	1170,324
2490670	597,324
2490671	324,216
2490672	324,743,1612,1400,461,543
2490673	324,507
