	127,797
2396563	127,278,230
2396564	127,95
2396565	127,2100,1718,359,588,176
2396566	127,68
2396567	127,1677,14,218,17,46,221
2396568	127,620,133
2396569	127,620,192
2396570	127,81,620,146,236
2396571	127,308,154,38,876,176
2396572	127,510,14
2396573	127,281
2396574	127,279,107,436,128
2396575	127,81
2396576	127,216
2396577	127,387
2396578	127,81
2396579	127,2963,1609,783
2396580	127,592,216,955,159,17,177
2396581	127,87
2396582	15,127,88,46
2396583	999,127
2396584	127,81
2396585	127,279
2396586	127,910
2396587	15,127,502,221
2396588	221,127,88,620
2396589	127,56,160,150,359
2396590	127,131
2396591	127,17,2513
2396592	127,275,373,46,38
2396593	127,143
2396594	127,538
2396595	127,218
2396596	127,825
2396597	127,223,81,373
2396598	127,85,128,8
2396599	127,599
2396600	127,146,131
2396601	127,3502
2396602	1454,127,87,246,217,152,46,76,478,236,337
2396603	221,127
2396604	127,84
2396605	127,451,14,208,16,53
2396606	127,714,436,910
2396607	127,19
2396608	127,2012
2396609	127,218,2920,357
2396610	127,49
2396611	390,127,176,467
2396612	127,218,502
2396613	127,1102,56,2841,3380,95,1226,128,131,221,2012,2616
2396614	127,179
2396615	127,881
2396616	127,620
2396617	127,278
2396618	127,133,620,131,221
2396619	127,218,131
2396620	127,145
2396621	127,2919
2396622	127,620
2396623	127,160,14,2047,230,131,236,221
2396624	127,44
2396625	221,127
2396626	127,588
2396627	127,269
2396628	127,2920,241,1060,1096
2396629	15,127,14
2396630	127,160,467,46,1277
2396631	127,14,467,390,396,622,292,246,3719,152,38
2396632	127,17,87
2396633	621,775,127,1909,97,133,1066,846,152,359,502,499,819
2396634	127,14
2396635	127,2270
2396636	127,620
2396637	127,179,373,88,1072,93
2396638	127,146
2396639	127,84,208
2396640	127,14,131
2396641	127,359
2396642	15,127
2396643	127,620
2396644	1102,127,502,46
2396645	127,104,95
2396646	127,801,1392,14,179,81,46,143,128,769
2396647	221,127,365
2396648	127,15,17,539,620,38,88
2396649	127,56,2128
2396650	127,246
2396651	127,128
2396652	221,127,14
2396653	2596,80,127,1011
2396654	127,14,81,131,221
2396655	127,14
2396656	127,69
2396657	221,127
2396658	221,56,127,1670
2396659	127,177
2396660	127,162,279,84,505
2396661	127,56,15,131,221
2396662	127,1061,1837,17,440,76
2396663	127,620
2396664	127,382
2396665	127,258
2396666	127,620,710
2396667	15,127,538,146
2396668	127,502,46,176
2396669	127,308,797,60,51
2396670	474,127
2396671	221,127,2752,14
2396672	127,234
2396673	127,539
2396674	127,620,131
2396675	221,127
2396676	90,127,158
2396677	127,365
2396678	127,620,365
2396679	127,292
2396680	127,204,279,46,1277,740,620
2396681	127,276,77
2396682	127,1991
2396683	127,301,810,568,223,1791,311
2396684	127,212,365
2396685	127,818,133,5
2396686	127,1158
2396687	127,1125,136,563,67,963
2396688	127,2035,941
2396689	127,819
2396690	705,127,81
2396691	127,409,575,46,86
2396692	127,136
2396693	127,337,212
2396694	1998,127
2396695	127,155,19
2396696	127,14,131,221,1123
2396697	2888,127
2396698	221,127,1060
2396699	127,95
2396700	127,218
2396701	127,979
2396702	127,620,128
2396703	127,1226,776
2396704	127,14,279,441
2396705	127,2019,1755,1148
2396706	127,56
2396707	127,160,342,1060,341
2396708	127,1439
2396709	127,14,160,136
2396710	15,17,127
2396711	127,39,910
2396712	127,451
2396713	127,131
2396714	127,192
2396715	127,934
2396716	127,188,179,620,797
2396717	127,270
2396718	127,155
2396719	127,24
2396720	127,219,136,179,337,60
2396721	127,179,538,673
2396722	127,217
2396723	127,337,152
2396724	127,2623,296,1145,107,763,657,1853
2396725	127,890,548
2396726	127,4
2396727	127,2887,179,812,81,3495,257,3746
2396728	127,136
2396729	15,127,365
2396730	127,717
2396731	127,440
2396732	127,538,15,192,2863
2396733	127,260,296,2061
2396734	90,127
2396735	127,620,131
2396736	127,160
2396737	378,127
2396738	127,686,219,461
2396739	127,268,840,143
2396740	127,2098
2396741	127,56,160,38,8
2396742	127,269,620
2396743	127,204
2396744	127,2019,357
2396745	127,377,2043,797,143,387,506
2396746	127,1454,568
2396747	127,143
2396748	2596,127,160,3191,78,17,255,1829,251
2396749	127,46,318
2396750	127,510
2396751	127,620
2396752	127,17,81
2396753	705,17,127,38
2396754	127,1226,38
2396755	127,3272
2396756	127,1204,359,564
2396757	127,620,95
2396758	127,128
2396759	127,269,365,337
2396760	127,131
2396761	1464,127,296
2396762	127,177,246
2396763	228,127,1207
2396764	127,49,1132,440,511
2396765	127,810,223,292,17,436,2130
2396766	127,17
2396767	127,620,375
2396768	127,56,218,279,934,257,382,51
2396769	127,133,38,41
2396770	127,382
2396771	127,1022,292,146
2396772	127,2555
2396773	127,17,46
2396774	127,666
2396775	127,14
2396776	127,359
2396777	127,818,179
2396778	127,1964
2396779	127,90,278,84,146
2396780	127,38,441,627
2396781	127,125,5,81
2396782	127,301,172,280,1560,1375,818,890,3,1093,3164,1506
2396783	127,1630
2396784	127,17
2396785	127,179,133
2396786	127,620
2396787	194,127,359,131
2396788	127,51
2396789	127,452,467
2396790	127,223
2396791	127,1132,246
2396792	127,128
2396793	127,17,1283
2396794	221,127
2396795	127,1409,844
2396796	127,620
2396797	127,891,154,539,146,88,387
2396798	127,451,2266,204,87,640,76,131,747
2396799	1829,127
2396800	127,3738,497,146,359,510
2396801	15,127,107,204
2396802	221,127
2396803	5,127,160
2396804	127,56
2396805	127,216,17,379,176
2396806	221,127,131
2396807	1829,127,131
2396808	127,145
2396809	90,127
2396810	127,87
2396811	127,462,2498
2396812	127,999,179,365,806,624,107,746,32
2396813	390,127
2396814	127,766,1075
2396815	221,179,127,131
2396816	127,803,416,68,1000,588
2396817	127,377
2396818	127,563,179,414,208
2396819	127,56,1060
2396820	127,1217,17,131,128,221,1283
2396821	127,3848,95,53
2396822	127,131,1265
2396823	1030,127,246
2396824	127,85,136,278,464,84,107,146,359,143,680
2396825	127,177
2396826	228,127,56,1670,95,497,221,222
2396827	127,148
2396828	127,15,146,131,221
2396829	221,127
2396830	127,216,179,17,718
2396831	127,746
2396832	127,1182
2396833	127,1803,769
2396834	127,279
2396835	127,2915,359,1060,177
2396836	194,127,808
2396837	127,3713
2396838	127,1226
2396839	90,127
2396840	15,127,46
2396841	127,588,176
2396842	127,1951,1066
2396843	127,84
2396844	127,620,844,164
2396845	127,451,205,152,32
2396846	127,538,95,726,38
2396847	127,56,806,77
2396848	228,127,81,2569
2396849	127,179
2396850	127,359,2774
2396851	127,177
2396852	127,1072
2396853	127,49,620,272
2396854	221,127
2396855	127,68,375,396
2396856	127,630
2396857	221,56,127,1265
2396858	127,326,2041
2396859	127,2006,230,187,19
2396860	127,95
2396861	127,3958,294,2098,373
2396862	127,218,146,131,221
2396863	127,56,620,464
2396864	127,56,133
2396865	221,127
2396866	127,17
2396867	127,326,464,717
2396868	127,56
2396869	127,510
2396870	127,3216,87,728,192
2396871	221,127,467
2396872	127,282,588,16
2396873	127,269,1209
2396874	127,1217,2012,38
2396875	127,236
2396876	127,85
2396877	15,127,1233,223
2396878	127,876,56,46,143,131,236,221
2396879	127,56,146,1060,125
2396880	228,127,702
2396881	127,269,56,131,221
2396882	2784,127
2396883	4112,127,192
2396884	127,131
2396885	127,46
2396886	400,127,273
2396887	127,146
2396888	127,236
2396889	127,1226
2396890	127,56,160,204,218,17,617,131,325,221
2396891	127,77,15,17,1243,46,146,88,251,2203
2396892	127,2920,411,890,276,452,461,2298,84,620,131,1660,1265
2396893	127,131
2396894	127,2769
2396895	127,143,128
2396896	127,97,90,146,32
2396897	127,17,204
2396898	127,56,223,365,81,881,228
2396899	127,179,359,192,584
2396900	90,2734,806,127
2396901	127,1217,14,810,188,95,279,81,143,680,581,502
2396902	127,14,862
2396903	127,3636,2056,15,131,510
2396904	127,81
2396905	127,223
2396906	127,245,174,131,369
2396907	127,1182
2396908	127,748,222
2396909	127,2100
2396910	127,511
2396911	127,160,14,818,359,131,221,510,51,377
2396912	221,127,1226,131
2396913	127,844,233,97,890,286,152,257
2396914	127,223
2396915	127,294
2396916	446,127,3603
2396917	1414,127
2396918	127,292,532,580
2396919	127,620
2396920	808,127
2396921	1102,127
2396922	228,127,671
2396923	127,251
2396924	221,127,160,131
2396925	127,107,2143
2396926	127,177,635,176
2396927	127,131,128
2396928	127,324,1086,418,152,58,599,32,776
2396929	127,19
2396930	127,160
2396931	127,177,452
2396932	127,718,1207,1468
2396933	127,342,1145
2396934	127,764
2396935	127,84,81,131
2396936	127,46,97
2396937	15,127,620
2396938	127,14
2396939	127,174,206,717
2396940	127,56,1217,1226,17
2396941	127,1670
2396942	127,510
2396943	127,539
2396944	127,624,5
2396945	90,127,1060,241
2396946	127,14,752,236,769,505,251
2396947	127,279
2396948	127,1226
2396949	127,1170
2396950	127,56,95,17,510,1265
2396951	127,279,925
2396952	127,620
2396953	127,387
2396954	127,131
2396955	127,721,125,145
2396956	127,160,1932,124,387,769
2396957	127,797
2396958	378,17,127
2396959	127,204,620,46,131
2396960	127,451
2396961	127,467,30,1377,272,192,88
2396962	127,97,14
2396963	127,238,359,1059
2396964	127,620
2396965	127,160,359
2396966	127,14
2396967	221,17,127,14
2396968	127,1964
2396969	127,46
2396970	127,204
2396971	127,359
2396972	15,269,510,127
2396973	127,60,279,5
2396974	127,179,143,41
2396975	127,2556,3314,1812,617,532
2396976	127,776
2396977	127,2452,85,296
2396978	127,4360,872
2396979	127,14
2396980	127,684
2396981	228,127
2396982	127,910
2396983	127,32
2396984	127,14
2396985	15,127,620
2396986	127,84,179,41
2396987	1936,127
2396988	127,584,87
2396989	15,127,14
2396990	378,127,502
2396991	127,14
2396992	127,56,216,568,292,87,81,17,146,192,131
2396993	127,17
2396994	127,204
2396995	127,539,5,357
2396996	127,311
2396997	127,1217
2396998	127,84
2396999	15,127
2397000	127,1999,179,769,2043,464,2019,46,620,1072
2397001	221,127
2397002	127,1382
2397003	307,127
2397004	127,107
2397005	127,1830
2397006	127,1591,131,1060,221
2397007	127,32,131
2397008	127,2730,44,218,1060,221,1409
2397009	657,127,87,14
2397010	127,620
2397011	127,49,46,272,379,32
2397012	127,19
2397013	127,93
2397014	127,752,467,1226,152,46,620,131
2397015	127,584,131
2397016	15,127,221
2397017	221,127
2397018	127,2498,2348,179,133,917,421,46,1655,228,2616,2363
2397019	221,127,236
2397020	127,2887,17,359,221
2397021	127,269
2397022	127,93,334
2397023	127,8
2397024	307,127
2397025	127,233,97,461,918,440,678,257,32,398
2397026	127,838,810
2397027	127,1245
2397028	127,97
2397029	127,90,365,143,32
2397030	221,127,216
2397031	127,1256,620,133
2397032	221,127
2397033	15,127
2397034	127,38,511
2397035	127,177,768,1120
2397036	127,577
2397037	221,268,127
2397038	228,127,56,14,95,728,3658,2579,421
2397039	127,56,216,204,68,155,143
2397040	15,127,1283,579
2397041	127,133
2397042	127,95
2397043	127,17,539
2397044	127,131
2397045	127,146,296
2397046	127,464,177,642
2397047	127,588
2397048	127,502
2397049	127,107,223
2397050	127,620
2397051	127,1005
2397052	127,1060
2397053	127,14
2397054	127,88
2397055	127,179,365,279,67,673,257,221,88,177
2397056	127,1940
2397057	127,95,131,221,1265
2397058	15,127
2397059	127,620
2397060	127,2270
2397061	127,223,452,143,177
2397062	228,127
2397063	1078,127,46,272
2397064	15,17,127
2397065	127,14
2397066	221,127
2397067	127,292,155,14
2397068	221,127,128
2397069	127,302,38
2397070	90,127,66
2397071	127,233,14,90,133,217,143,673,505
2397072	127,308,620
2397073	127,1032,810,223,95,292,452,856,17,38,436,221,5
2397074	127,1405
2397075	127,204
2397076	15,127,254
2397077	127,85
2397078	127,577,715,66
2397079	127,373,440,620,51
2397080	127,133
2397081	221,127
2397082	15,127,539,152
2397083	127,1670,2098,223,934,87
2397084	221,127
2397085	127,88
2397086	127,1635,365,230,146,38,710
2397087	127,766,3443,39,154
2397088	127,131
2397089	127,288
2397090	127,56
2397091	127,143
2397092	127,938,44
2397093	15,127
2397094	307,127
2397095	307,127,14
2397096	15,127,620
2397097	127,87
2397098	127,436
2397099	127,618,2056,810,467,90,510,254
2397100	127,539
2397101	127,1217,3053,1086,359
2397102	127,56,204,223,3386,15
2397103	1298,127
2397104	221,127,95
2397105	15,127
2397106	127,107,128,1182
2397107	127,95
2397108	127,717
2397109	127,2281,39
2397110	127,3161
2397111	127,2043
2397112	221,127,1060
2397113	127,620
2397114	127,56,216,17,88
2397115	127,2100
2397116	127,1344,1210
2397117	127,17,387,3603
2397118	127,236
2397119	127,373,1256,620,131,421
2397120	127,620,1182,240
2397121	127,1125,257
2397122	221,127,1226
2397123	127,934
2397124	127,819
2397125	127,236
2397126	127,223,452,38,511,51
2397127	127,592
2397128	221,127,131
2397129	127,620
2397130	127,95,464,217,84,46,359,228,1755,32
2397131	127,56
2397132	127,49,379,46
2397133	127,133
2397134	127,49,1078,46,272,131,2388
2397135	127,176
2397136	228,127
2397137	127,365,464,761,217,39,764,548
2397138	127,155,97,76
2397139	127,81,208,46,38,131
2397140	127,17,510
2397141	127,56,15,131,221,510,19
2397142	127,131
2397143	127,46,204
2397144	127,995,217,146,746
2397145	90,127,296
2397146	127,56,218,893,228,337
2397147	127,620
2397148	15,127
2397149	127,262,19,160
2397150	127,593,918,46,63,76,38
2397151	127,14,1120,292,25
2397152	15,127
2397153	127,85,797,88,93
2397154	127,269,491,216,217,155,152,260,718,505
2397155	127,14,955,624,5
2397156	127,97
2397157	127,620,222
2397158	127,691,1011
2397159	127,295,44,179,411,81
2397160	127,1009,219,78,1256,2108
2397161	127,88,257
2397162	127,77
2397163	127,17,216,511
2397164	127,133
2397165	127,301,988
2397166	127,359,3460
2397167	127,620,1670
2397168	127,216
2397169	127,14
2397170	127,462
2397171	221,56,127,131
2397172	127,49
2397173	127,46,1072
2397174	127,97,219,1749
2397175	127,85,90,624,1447,581,337,302,273
2397176	127,1991
2397177	127,620
2397178	127,620
2397179	127,1841
2397180	127,56,95,38
2397181	127,1815,146,192
2397182	176,127,160,497,15,17,1964,131,1723,1265
2397183	127,14,204,15,221,93
2397184	127,3
2397185	127,128
2397186	127,1256,204
2397187	127,107
2397188	127,2043,154,76,38,236,93
2397189	127,467,241,17,143
2397190	127,1217,90,2568,1456,273
2397191	127,95
2397192	127,281
2397193	127,620
2397194	127,179,1535
2397195	221,127,1125
2397196	474,127,95,1286
2397197	127,2565,666,934
2397198	127,279
2397199	221,127,1265
2397200	127,464,131
2397201	127,216
2397202	127,1226,14
2397203	127,1096
2397204	127,620
2397205	127,2919
2397206	127,717
2397207	378,127,87,43,228,377
2397208	127,620,38,131
2397209	127,464,143
2397210	127,172,223,15,680
2397211	127,177,216,511
2397212	127,128
2397213	127,84
2397214	127,192
2397215	127,3105
2397216	127,467,15,17,131
2397217	127,77
2397218	127,179,176
2397219	127,88,216
2397220	127,2043
2397221	127,538,810,17,63,112,48
2397222	221,127,1226
2397223	127,146
2397224	15,127,2359,131
2397225	127,14
2397226	127,279,177,452
2397227	127,131
2397228	127,467
2397229	127,748,218,1545,125
2397230	127,1598,620,726,131,32,19
2397231	221,127,131,124
2397232	127,14,17,769,93
2397233	15,17,127,188
2397234	127,2826
2397235	127,227,97,1630,2213,686,293
2397236	127,337
2397237	127,5
2397238	127,1392
2397239	127,451,15,1377,221
2397240	127,146
2397241	127,1747,4159,871
2397242	127,42,72
2397243	680,127,236
2397244	127,56,131
2397245	127,56,3260
2397246	127,51,81
2397247	1373,127
2397248	221,127,131
2397249	127,748,1226,81,1072
2397250	127,491,3804,891
2397251	127,1001,3966,296,715,464,417,1456,192,763,1853,222
2397252	127,176
2397253	127,46,599
2397254	127,255,446,2,206,459,38,16,492
2397255	127,538
2397256	127,1711
2397257	127,344,131
2397258	127,392
2397259	127,1677
2397260	15,127,221
2397261	127,85,2802,143,131
2397262	127,1265
2397263	127,160
2397264	317,127
2397265	127,728
2397266	127,152
2397267	127,1209
2397268	127,131
2397269	15,127,46,204
2397270	127,143
2397271	127,691
2397272	127,766
2397273	221,127,95,131
2397274	127,5
2397275	127,1635,619,218,872,1358,125
2397276	127,620,4427
2397277	3583,127,1060
2397278	221,127,497,53
2397279	127,97,179,133,398
2397280	127,3419,133,46,862
2397281	127,844,217,367,38,628
2397282	127,497,1718,1949,588
2397283	127,222,3425
2397284	127,76
2397285	127,365,377,1591
2397286	127,292,53,1096,93
2397287	1454,1234,127
2397288	221,127,131
2397289	15,127,464,1189
2397290	127,365
2397291	127,81
2397292	127,238,67,221,106
2397293	229,127
2397294	127,125
2397295	127,204
2397296	127,218,717
2397297	127,128
2397298	127,1059
2397299	15,127
2397300	127,146,81
2397301	127,292,241,17,1055
2397302	127,728
2397303	127,1300,257
2397304	127,106
2397305	127,295,136,133,217,107,667,359,680,421
2397306	2,127,281,1032
2397307	127,216,580
2397308	127,87,219
2397309	127,801
2397310	15,127
2397311	127,416,1954,2856
2397312	127,1060,241
2397313	15,127,359
2397314	127,1022,46,38,1265
2397315	228,56,127
2397316	127,216
2397317	127,1409
2397318	127,16
2397319	127,1543,717
2397320	127,2123
